企業名,会計年度,四半期,y_hat_ml2,best_hyparam
アルインコ,2020,Q4,23.431153659977664,[1]
アルコニックス,2018,Q1,93.40163510497328,[1000]
アルコニックス,2018,Q2,69.92589585205015,[1000]
アルコニックス,2018,Q3,77.8444768821355,[1000]
アルコニックス,2018,Q4,47.983228782074875,[1000]
アルコニックス,2019,Q1,43.016875459036186,[1000]
アルコニックス,2019,Q2,56.36503086115892,[1000]
アルコニックス,2019,Q3,-30.368331167860795,[1000]
アルコニックス,2019,Q4,5.2630617302150995,[1000]
アルコニックス,2020,Q1,32.02846851475239,[1000]
アルコニックス,2020,Q2,53.98830110094042,[1000]
アルコニックス,2020,Q3,42.163312831486905,[1000]
アルコニックス,2020,Q4,17.556425281425575,[1000]
アルゴグラフィックス,2018,Q1,89.8967998678522,[1000]
アルゴグラフィックス,2018,Q2,75.44817341678218,[1000]
アルゴグラフィックス,2018,Q3,59.01695127581499,[1000]
アルゴグラフィックス,2018,Q4,107.42080845888242,[1000]
アルゴグラフィックス,2019,Q1,130.39253040389605,[1000]
アルゴグラフィックス,2019,Q2,2.042436343290859,[1000]
アルゴグラフィックス,2019,Q3,22.731078813701203,[1000]
アルゴグラフィックス,2019,Q4,16.689729391744436,[1000]
