企業名,会計年度,四半期,y_hat_mraf
アルプスアルパイン,2019,Q3,28.755800000000004
アルプスアルパイン,2019,Q4,-3.7731
アルプスアルパイン,2020,Q1,-14.928200000000013
アルプスアルパイン,2020,Q2,5.7144
アルプスアルパイン,2020,Q3,36.590899999999976
アルプスアルパイン,2020,Q4,4.8217
アルプス物流,2018,Q1,17.328000000000014
アルプス物流,2018,Q2,18.525800000000004
アルプス物流,2018,Q3,19.657500000000013
アルプス物流,2018,Q4,19.514
アルプス物流,2019,Q1,16.426300000000012
アルプス物流,2019,Q2,19.10430000000002
アルプス物流,2019,Q3,20.696000000000005
アルプス物流,2019,Q4,18.326800000000013
アルプス物流,2020,Q1,16.746200000000005
アルプス物流,2020,Q2,16.187099999999997
アルプス物流,2020,Q3,20.72940000000002
アルプス物流,2020,Q4,23.392199999999992
アンリツ,2018,Q1,8.036185659081873
アンリツ,2018,Q2,10.014456977245615
アンリツ,2018,Q3,11.992256977245615
アンリツ,2018,Q4,15.85478527265498
アンリツ,2019,Q1,11.978271318163753
アンリツ,2019,Q2,14.925956977245614
アンリツ,2019,Q3,19.46517131816375
アンリツ,2019,Q4,17.724670931736874
アンリツ,2020,Q1,16.653028295409364
アンリツ,2020,Q2,22.56997131816376
アンリツ,2020,Q3,20.016699999999982
