企業名,会計年度,四半期,y_hat_men_i_tuned,best_hyparam
アキレス,2020,Q4,17.38857942921576,[1.e+04 7.e-01]
アクシアル　リテイリング,2018,Q1,59.95331684886135,[10000.     0.]
アクシアル　リテイリング,2018,Q2,68.91508096346277,[10000.     0.]
アクシアル　リテイリング,2018,Q3,68.73418866638272,[10000.     0.]
アクシアル　リテイリング,2018,Q4,56.25976292644733,[10000.     0.]
アクシアル　リテイリング,2019,Q1,66.9796608258796,[10000.     0.]
アクシアル　リテイリング,2019,Q2,72.56931112685288,[10000.     0.]
アクシアル　リテイリング,2019,Q3,71.33754167954535,[10000.     0.]
アクシアル　リテイリング,2019,Q4,55.73402428453795,[10000.     0.]
アクシアル　リテイリング,2020,Q1,74.13056504643453,[10000.     0.]
アクシアル　リテイリング,2020,Q2,85.66126363481044,[10000.     0.]
アクシアル　リテイリング,2020,Q3,85.27487811491565,[10000.     0.]
アクシアル　リテイリング,2020,Q4,70.83460102499862,[10000.     0.]
アクセル,2018,Q1,-12.085857110380722,[10.  1.]
アクセル,2018,Q2,-6.453510943474063,[10.  1.]
アクセル,2018,Q3,-3.1777600442615457,[10.  1.]
アクセル,2018,Q4,-11.372358067378002,[10.  1.]
アクセル,2019,Q1,1.1543960049995228,[10.  1.]
アクセル,2019,Q2,-6.701920787610643,[10.  1.]
アクセル,2019,Q3,14.34123071742112,[10.  1.]
アクセル,2019,Q4,-1.3755855540041964,[10.  1.]
アクセル,2020,Q1,28.08593316352362,[10.  1.]
アクセル,2020,Q2,-5.61519029072312,[10.  1.]
アクセル,2020,Q3,9.236766803379272,[10.  1.]
アクセル,2020,Q4,16.721286287203213,[10.  1.]
アジアパイルホールディングス,2018,Q1,9.018055555555556,[1.e+03 5.e-01]
アジアパイルホールディングス,2018,Q2,10.02582844087969,[1.e+03 5.e-01]
アジアパイルホールディングス,2018,Q3,11.426844456628586,[1.e+03 5.e-01]
アジアパイルホールディングス,2018,Q4,12.19033995331305,[1.e+03 5.e-01]
アジアパイルホールディングス,2019,Q1,12.014444444444445,[1.e+03 5.e-01]
アジアパイルホールディングス,2019,Q2,12.817777777777778,[1.e+03 5.e-01]
アジアパイルホールディングス,2019,Q3,14.927777777777777,[1.e+03 5.e-01]
アジアパイルホールディングス,2019,Q4,15.755277777777776,[1.e+03 5.e-01]
アジアパイルホールディングス,2020,Q1,16.342777777777776,[1.e+03 5.e-01]
アジアパイルホールディングス,2020,Q2,17.245,[1.e+03 5.e-01]
アジアパイルホールディングス,2020,Q3,17.589999999999996,[1.e+03 5.e-01]
アジアパイルホールディングス,2020,Q4,17.489444444444445,[1.e+03 5.e-01]
アステラス製薬,2018,Q1,33.59991500789134,[100.   0.]
アステラス製薬,2018,Q2,27.36551742457666,[100.   0.]
アステラス製薬,2018,Q3,35.53779862264125,[100.   0.]
アステラス製薬,2018,Q4,16.17267002121168,[100.   0.]
アステラス製薬,2019,Q1,36.236748823607435,[100.   0.]
アステラス製薬,2019,Q2,26.64098818352811,[100.   0.]
アステラス製薬,2019,Q3,32.6185187199997,[100.   0.]
アステラス製薬,2019,Q4,14.429167126221989,[100.   0.]
アステラス製薬,2020,Q1,28.498248885473675,[100.   0.]
アステラス製薬,2020,Q2,34.44619668858638,[100.   0.]
