企業名,会計年度,四半期,y_hat_mmlp
アルインコ,2020,Q2,37.411274
アルインコ,2020,Q3,36.515697
アルインコ,2020,Q4,24.9981
アルコニックス,2018,Q1,75.99815
アルコニックス,2018,Q2,79.12325
アルコニックス,2018,Q3,69.80316
アルコニックス,2018,Q4,33.82348
アルコニックス,2019,Q1,81.477425
アルコニックス,2019,Q2,25.162035
アルコニックス,2019,Q3,38.63539
アルコニックス,2019,Q4,52.75694
アルコニックス,2020,Q1,86.73215
アルコニックス,2020,Q2,37.97968
アルコニックス,2020,Q3,39.571938
アルコニックス,2020,Q4,14.510391
アルゴグラフィックス,2018,Q1,72.263405
アルゴグラフィックス,2018,Q2,61.064487
アルゴグラフィックス,2018,Q3,59.355553
アルゴグラフィックス,2018,Q4,85.35395
アルゴグラフィックス,2019,Q1,33.529873
アルゴグラフィックス,2019,Q2,44.205017
アルゴグラフィックス,2019,Q3,32.504547
アルゴグラフィックス,2019,Q4,41.372234
アルゴグラフィックス,2020,Q1,31.497583
アルゴグラフィックス,2020,Q2,45.11591
アルゴグラフィックス,2020,Q3,36.96708
アルゴグラフィックス,2020,Q4,32.00788
アルビス,2018,Q1,82.28335
アルビス,2018,Q2,73.588554
アルビス,2018,Q3,61.14163
アルビス,2018,Q4,78.66556
アルビス,2019,Q1,33.435925
アルビス,2019,Q2,69.16947
アルビス,2019,Q3,72.9585
アルビス,2019,Q4,65.83764
アルビス,2020,Q1,66.124695
アルビス,2020,Q2,67.77032
アルビス,2020,Q3,64.70499
アルビス,2020,Q4,42.869164
アルファ,2018,Q1,58.02536
アルファ,2018,Q2,40.99031
アルファ,2018,Q3,37.11564
アルファ,2018,Q4,65.51555
アルファ,2019,Q1,53.02138
アルファ,2019,Q2,29.081358
アルファ,2019,Q3,57.461365
アルファ,2019,Q4,86.22616
アルファ,2020,Q1,-108.38182
アルファ,2020,Q2,-71.82441
アルファ,2020,Q3,-27.700214
アルファ,2020,Q4,54.99818
アルファシステムズ,2018,Q1,40.18744
アルファシステムズ,2018,Q2,33.15566
アルファシステムズ,2018,Q3,31.711033
アルファシステムズ,2018,Q4,48.95069
アルファシステムズ,2019,Q1,30.03547
アルファシステムズ,2019,Q2,19.918705
アルファシステムズ,2019,Q3,5.800163
アルファシステムズ,2019,Q4,47.92743
アルファシステムズ,2020,Q1,24.529684
アルファシステムズ,2020,Q2,49.362614
アルファシステムズ,2020,Q3,36.94368
アルファシステムズ,2020,Q4,51.295105
アルフレッサ　ホールディングス,2018,Q1,41.74078
アルフレッサ　ホールディングス,2018,Q2,28.62055
アルフレッサ　ホールディングス,2018,Q3,54.94412
アルフレッサ　ホールディングス,2018,Q4,51.57856
アルフレッサ　ホールディングス,2019,Q1,39.959415
アルフレッサ　ホールディングス,2019,Q2,24.851414
アルフレッサ　ホールディングス,2019,Q3,81.87129
アルフレッサ　ホールディングス,2019,Q4,40.050354
アルフレッサ　ホールディングス,2020,Q1,21.266642
アルフレッサ　ホールディングス,2020,Q2,25.69827
アルフレッサ　ホールディングス,2020,Q3,49.27122
アルフレッサ　ホールディングス,2020,Q4,39.790066
アルプスアルパイン,2018,Q1,63.3891
アルプスアルパイン,2018,Q2,84.66862
アルプスアルパイン,2018,Q3,79.12352
アルプスアルパイン,2018,Q4,11.904054
アルプスアルパイン,2019,Q1,54.691357
アルプスアルパイン,2019,Q2,58.744614
アルプスアルパイン,2019,Q3,22.31025
アルプスアルパイン,2019,Q4,9.269786
アルプスアルパイン,2020,Q1,20.366983
アルプスアルパイン,2020,Q2,4.139645
アルプスアルパイン,2020,Q3,17.339548
アルプスアルパイン,2020,Q4,-12.158258
アルプス物流,2018,Q1,27.356989
アルプス物流,2018,Q2,24.864847
アルプス物流,2018,Q3,14.165082
アルプス物流,2018,Q4,21.456554
アルプス物流,2019,Q1,14.985677
アルプス物流,2019,Q2,13.268765
アルプス物流,2019,Q3,19.57257
アルプス物流,2019,Q4,7.650633
アルプス物流,2020,Q1,15.834773
アルプス物流,2020,Q2,16.883907
アルプス物流,2020,Q3,16.60555
アルプス物流,2020,Q4,25.536215
アンリツ,2018,Q1,8.693674
アンリツ,2018,Q2,2.9382265
アンリツ,2018,Q3,20.637299
アンリツ,2018,Q4,17.144365
アンリツ,2019,Q1,17.438257
アンリツ,2019,Q2,20.572855
アンリツ,2019,Q3,20.331144
アンリツ,2019,Q4,23.57345
アンリツ,2020,Q1,21.28873
アンリツ,2020,Q2,25.88809
アンリツ,2020,Q3,26.207481
アンリツ,2020,Q4,35.993732
アートネイチャー,2018,Q1,-0.1546874
アートネイチャー,2018,Q2,36.610237
アートネイチャー,2018,Q3,29.779829
アートネイチャー,2018,Q4,16.158707
アートネイチャー,2019,Q1,12.378866
アートネイチャー,2019,Q2,13.868397
アートネイチャー,2019,Q3,13.336234
