企業名,会計年度,四半期,y_hat_ml2_i_tuned,best_hyparam
アズビル,2019,Q4,48.409234454280224,[100.]
アズビル,2020,Q1,9.718035443255815,[100.]
アズビル,2020,Q2,24.836664376574102,[100.]
アズビル,2020,Q3,34.7743591450688,[100.]
アズビル,2020,Q4,51.53453063131858,[100.]
アズワン,2018,Q1,74.001095114617,[100.]
アズワン,2018,Q2,65.465172771889,[100.]
アズワン,2018,Q3,73.06245000633439,[100.]
アズワン,2018,Q4,83.797636291278,[100.]
アズワン,2019,Q1,67.56866843468192,[100.]
アズワン,2019,Q2,68.81783302562256,[100.]
アズワン,2019,Q3,79.72565002344757,[100.]
アズワン,2019,Q4,95.20555930189262,[100.]
アズワン,2020,Q1,63.17439769394187,[100.]
アズワン,2020,Q2,62.10486050127395,[100.]
アズワン,2020,Q3,105.46500268954937,[100.]
アズワン,2020,Q4,112.14509853460464,[100.]
アツギ,2018,Q1,-151.8821387494384,[0.01097499]
アツギ,2018,Q2,-185.56400944612415,[0.01097499]
アツギ,2018,Q3,-13.281685175983107,[0.01097499]
アツギ,2018,Q4,-121.27444496573523,[0.01097499]
アツギ,2019,Q1,-202.94472387394308,[0.01097499]
アツギ,2019,Q2,-195.28350527696395,[0.01097499]
アツギ,2019,Q3,-82.21162763065591,[0.01097499]
アツギ,2019,Q4,-200.99226357260116,[0.01097499]
アツギ,2020,Q1,165.36397783720662,[0.01097499]
アツギ,2020,Q2,-420.1774173504616,[0.01097499]
アツギ,2020,Q3,-153.04277661281694,[0.01097499]
アツギ,2020,Q4,-74.15762917365669,[0.01097499]
アドウェイズ,2018,Q1,22.003731765870075,[10.72267222]
アドウェイズ,2018,Q2,6.460504273515369,[10.72267222]
アドウェイズ,2018,Q3,-3.594015034550152,[10.72267222]
アドウェイズ,2018,Q4,-3.8956110638141013,[10.72267222]
アドウェイズ,2019,Q1,-7.875143019645677,[10.72267222]
アドウェイズ,2019,Q2,2.6332615220628637,[10.72267222]
アドウェイズ,2019,Q3,-0.04049750013941811,[10.72267222]
アドウェイズ,2019,Q4,13.12560816912027,[10.72267222]
アドウェイズ,2020,Q1,0.6434208763746572,[10.72267222]
アドウェイズ,2020,Q2,10.379468797263893,[10.72267222]
アドウェイズ,2020,Q3,14.339256844038303,[10.72267222]
