企業名,会計年度,四半期,y_hat_mraf,best_hyparam
アイネット,2020,Q1,20.776335340190474,[2000 100]
アイネット,2020,Q2,25.546878738493803,[2000 100]
アイネット,2020,Q3,19.37053742735928,[2000 100]
アイネット,2020,Q4,23.15281133594818,[2000 100]
アイホン,2018,Q1,21.094630000000095,[1000 10]
アイホン,2018,Q2,50.1430899999999,[1000 10]
アイホン,2018,Q3,28.205919999999992,[1000 10]
アイホン,2018,Q4,46.94921000000005,[1000 10]
アイホン,2019,Q1,18.29906000000008,[1000 10]
アイホン,2019,Q2,47.24833000000006,[1000 10]
アイホン,2019,Q3,32.27404000000007,[1000 10]
アイホン,2019,Q4,65.65060999999996,[1000 10]
アイホン,2020,Q1,13.35169000000004,[1000 10]
アイホン,2020,Q2,49.99943999999995,[1000 10]
アイホン,2020,Q3,33.73202000000027,[1000 10]
アイホン,2020,Q4,42.79247999999997,[1000 10]
アイロムグループ,2018,Q1,9.983523656653164,[2000 100]
アイロムグループ,2018,Q2,14.39408000000004,[2000 100]
アイロムグループ,2018,Q3,20.2502119399196,[2000 100]
アイロムグループ,2018,Q4,40.42025109442175,[2000 100]
アイロムグループ,2019,Q1,20.11494072103516,[2000 100]
アイロムグループ,2019,Q2,16.040761218884626,[2000 100]
アイロムグループ,2019,Q3,11.88211218884423,[2000 100]
アイロムグループ,2019,Q4,22.318851068682825,[2000 100]
アイロムグループ,2020,Q1,14.8255998755378,[2000 100]
アイロムグループ,2020,Q2,40.6173577339372,[2000 100]
アイロムグループ,2020,Q3,35.76134499999983,[2000 100]
アイロムグループ,2020,Q4,33.609990347647646,[2000 100]
アキレス,2018,Q1,33.79513999999996,[500 10]
アキレス,2018,Q2,29.151800000000048,[500 10]
アキレス,2018,Q3,28.601340000000043,[500 10]
アキレス,2018,Q4,17.219163595381744,[500 10]
アキレス,2019,Q1,8.390934381526685,[500 10]
アキレス,2019,Q2,8.52340359538167,[500 10]
アキレス,2019,Q3,12.77716359538169,[500 10]
アキレス,2019,Q4,17.346675953816785,[500 10]
アキレス,2020,Q1,19.982355953816786,[500 10]
アキレス,2020,Q2,42.27068000000009,[500 10]
アキレス,2020,Q3,35.66292000000005,[500 10]
アキレス,2020,Q4,33.24338359538171,[500 10]
アクシアル　リテイリング,2018,Q1,64.45811999999954,[2000 10]
アクシアル　リテイリング,2018,Q2,68.79277000000013,[2000 10]
アクシアル　リテイリング,2018,Q3,74.92598500000187,[2000 10]
アクシアル　リテイリング,2018,Q4,63.22602999999975,[2000 10]
アクシアル　リテイリング,2019,Q1,66.26151499999968,[2000 10]
アクシアル　リテイリング,2019,Q2,70.35412500000066,[2000 10]
アクシアル　リテイリング,2019,Q3,75.63255500000103,[2000 10]
アクシアル　リテイリング,2019,Q4,66.19107000000005,[2000 10]
アクシアル　リテイリング,2020,Q1,68.38943000000046,[2000 10]
アクシアル　リテイリング,2020,Q2,83.51471999999984,[2000 10]
アクシアル　リテイリング,2020,Q3,94.42474499999943,[2000 10]
アクシアル　リテイリング,2020,Q4,87.33061499999958,[2000 10]
アクセル,2018,Q1,-3.6719999999999993,[100 10]
アクセル,2018,Q2,-7.968299999999999,[100 10]
アクセル,2018,Q3,-19.810799999999983,[100 10]
アクセル,2018,Q4,-21.9317,[100 10]
アクセル,2019,Q1,-17.916299999999985,[100 10]
アクセル,2019,Q2,8.015000000000002,[100 10]
アクセル,2019,Q3,11.874899999999991,[100 10]
アクセル,2019,Q4,10.471099999999996,[100 10]
アクセル,2020,Q1,14.528100000000006,[100 10]
アクセル,2020,Q2,-10.283800000000006,[100 10]
アクセル,2020,Q3,-7.9423,[100 10]
アクセル,2020,Q4,11.940300000000004,[100 10]
アジアパイルホールディングス,2018,Q1,13.79985500000001,[2000 100]
アジアパイルホールディングス,2018,Q2,19.86763499999996,[2000 100]
アジアパイルホールディングス,2018,Q3,23.04312499999984,[2000 100]
アジアパイルホールディングス,2018,Q4,11.687054999999935,[2000 100]
アジアパイルホールディングス,2019,Q1,19.65117999999995,[2000 100]
アジアパイルホールディングス,2019,Q2,20.312899999999864,[2000 100]
