企業名,会計年度,四半期,y_hat_ml1_i_tuned_fine,best_hyparam
アジアパイルホールディングス,2020,Q4,17.489444444444445,[474.19382974]
アステラス製薬,2018,Q1,33.54247845527309,[76.97143226]
アステラス製薬,2018,Q2,24.96070072968858,[76.97143226]
アステラス製薬,2018,Q3,29.72387278928915,[76.97143226]
アステラス製薬,2018,Q4,14.578718150829665,[76.97143226]
アステラス製薬,2019,Q1,33.100063560871504,[76.97143226]
アステラス製薬,2019,Q2,23.961629058720384,[76.97143226]
アステラス製薬,2019,Q3,30.888286874146264,[76.97143226]
アステラス製薬,2019,Q4,16.88410132701627,[76.97143226]
アステラス製薬,2020,Q1,31.26270825262109,[76.97143226]
アステラス製薬,2020,Q2,29.854380025524872,[76.97143226]
アステラス製薬,2020,Q3,31.54793954312472,[76.97143226]
アステラス製薬,2020,Q4,14.395705398230653,[76.97143226]
アズビル,2018,Q1,15.184608638697583,[76.97143226]
アズビル,2018,Q2,47.51457204140742,[76.97143226]
アズビル,2018,Q3,-12.41102340622541,[76.97143226]
アズビル,2018,Q4,85.4570045512959,[76.97143226]
アズビル,2019,Q1,7.173884310934014,[76.97143226]
アズビル,2019,Q2,25.18473453965244,[76.97143226]
アズビル,2019,Q3,-2.7678839449089168,[76.97143226]
アズビル,2019,Q4,36.44437176896733,[76.97143226]
アズビル,2020,Q1,7.489044425579664,[76.97143226]
アズビル,2020,Q2,29.85374600793478,[76.97143226]
アズビル,2020,Q3,34.47002634203069,[76.97143226]
アズビル,2020,Q4,51.67884477922209,[76.97143226]
アズワン,2018,Q1,67.68156840984508,[580.35289817]
アズワン,2018,Q2,60.20251117942755,[580.35289817]
アズワン,2018,Q3,63.927731978687106,[580.35289817]
アズワン,2018,Q4,73.8885299850362,[580.35289817]
アズワン,2019,Q1,69.99853921884568,[580.35289817]
アズワン,2019,Q2,62.89146882335684,[580.35289817]
アズワン,2019,Q3,67.82088547031057,[580.35289817]
アズワン,2019,Q4,76.9669419930051,[580.35289817]
アズワン,2020,Q1,75.44083840511885,[580.35289817]
アズワン,2020,Q2,69.56622011357545,[580.35289817]
アズワン,2020,Q3,86.04950684220022,[580.35289817]
アズワン,2020,Q4,85.25548985959331,[580.35289817]
アツギ,2018,Q1,1.2128605041937404,[6554.31432833]
アツギ,2018,Q2,0.8014716153048512,[6554.31432833]
アツギ,2018,Q3,1.2220271708604067,[6554.31432833]
アツギ,2018,Q4,1.2745271708604067,[6554.31432833]
アツギ,2019,Q1,-4.191861718028482,[6554.31432833]
アツギ,2019,Q2,-4.656861718028483,[6554.31432833]
アツギ,2019,Q3,-4.6338061624729265,[6554.31432833]
アツギ,2019,Q4,-12.952695051361815,[6554.31432833]
アツギ,2020,Q1,-14.622972829139592,[6554.31432833]
アツギ,2020,Q2,-16.09575060691737,[6554.31432833]
アツギ,2020,Q3,-15.774917273584038,[6554.31432833]
アツギ,2020,Q4,-16.556861718028482,[6554.31432833]
アドウェイズ,2018,Q1,1.3289775427504225,[580.35289817]
アドウェイズ,2018,Q2,2.961664350310784,[580.35289817]
アドウェイズ,2018,Q3,3.5497785639050647,[580.35289817]
アドウェイズ,2018,Q4,-4.644896909867697,[580.35289817]
アドウェイズ,2019,Q1,-11.92876615506528,[580.35289817]
アドウェイズ,2019,Q2,-1.9813522941677455,[580.35289817]
アドウェイズ,2019,Q3,-1.451966133247069,[580.35289817]
アドウェイズ,2019,Q4,-1.152490236424315,[580.35289817]
アドウェイズ,2020,Q1,-7.607071746706755,[580.35289817]
アドウェイズ,2020,Q2,-5.674436471796348,[580.35289817]
アドウェイズ,2020,Q3,-0.986773667720648,[580.35289817]
アドウェイズ,2020,Q4,4.269684729909093,[580.35289817]
アドソル日進,2018,Q1,17.344022785314124,[12.49404993]
アドソル日進,2018,Q2,18.507029101295124,[12.49404993]
アドソル日進,2018,Q3,18.351486922667384,[12.49404993]
アドソル日進,2018,Q4,15.383542346739402,[12.49404993]
アドソル日進,2019,Q1,21.43629076656179,[12.49404993]
アドソル日進,2019,Q2,23.332195783245396,[12.49404993]
アドソル日進,2019,Q3,23.606574788134346,[12.49404993]
アドソル日進,2019,Q4,18.56757910090244,[12.49404993]
アドソル日進,2020,Q1,24.841274255489076,[12.49404993]
アドソル日進,2020,Q2,24.618760368911108,[12.49404993]
アドソル日進,2020,Q3,24.43513042672035,[12.49404993]
アドソル日進,2020,Q4,17.44610041283044,[12.49404993]
アドバネクス,2018,Q1,-1.3158712177995557,[22.90403581]
アドバネクス,2018,Q2,9.607526182525193,[22.90403581]
アドバネクス,2018,Q3,-5.9021531424106355,[22.90403581]
アドバネクス,2018,Q4,-30.025780339320306,[22.90403581]
アドバネクス,2019,Q1,-16.27197139926628,[22.90403581]
アドバネクス,2019,Q2,-10.15120816443817,[22.90403581]
アドバネクス,2019,Q3,17.684226310785313,[22.90403581]
アドバネクス,2019,Q4,-15.760662936231224,[22.90403581]
アドバネクス,2020,Q1,-66.92861069120033,[22.90403581]
アドバネクス,2020,Q2,-56.6812982118354,[22.90403581]
アドバネクス,2020,Q3,-24.835731420742604,[22.90403581]
アドバネクス,2020,Q4,-50.362015387915974,[22.90403581]
アドバンテスト,2018,Q1,71.03743745978566,[22.90403581]
アドバンテスト,2018,Q2,79.94489974576634,[22.90403581]
アドバンテスト,2018,Q3,83.51744994074231,[22.90403581]
アドバンテスト,2018,Q4,50.47772980905661,[22.90403581]
アドバンテスト,2019,Q1,59.48785294889566,[22.90403581]
アドバンテスト,2019,Q2,79.74512202865176,[22.90403581]
アドバンテスト,2019,Q3,61.55825772334972,[22.90403581]
アドバンテスト,2019,Q4,52.198731872503785,[22.90403581]
アドバンテスト,2020,Q1,59.708587016130004,[22.90403581]
アドバンテスト,2020,Q2,68.31783811957118,[22.90403581]
アドバンテスト,2020,Q3,72.49225121135187,[22.90403581]
アドバンテスト,2020,Q4,91.8044956646738,[22.90403581]
アドヴァングループ,2018,Q1,-30.990815001361455,[0.04366043]
アドヴァングループ,2018,Q2,40.157869022456225,[0.04366043]
アドヴァングループ,2018,Q3,63.588160350832254,[0.04366043]
アドヴァングループ,2018,Q4,6.63833451625203,[0.04366043]
アドヴァングループ,2019,Q1,54.79516456018064,[0.04366043]
アドヴァングループ,2019,Q2,24.096058956245543,[0.04366043]
アドヴァングループ,2019,Q3,34.70745216717364,[0.04366043]
アドヴァングループ,2019,Q4,41.30027266090701,[0.04366043]
アドヴァングループ,2020,Q1,13.248522522336089,[0.04366043]
アドヴァングループ,2020,Q2,17.02452073336576,[0.04366043]
アドヴァングループ,2020,Q3,14.234632597597823,[0.04366043]
