企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
たけびし,2020,Q1,8,64,36,0.06949705630540848,"dict_items([('hidden_units', 992), ('learning_rate', 0.04346513038950056)])",12,"tensor(44.1189, grad_fn=<MseLossBackward>)",26.59,24.06561
たけびし,2020,Q2,9,69,31,0.030833452939987183,"dict_items([('hidden_units', 796), ('learning_rate', 0.055776867643956535)])",12,"tensor(43.6454, grad_fn=<MseLossBackward>)",22.84,25.019585
たけびし,2020,Q3,10,55,45,0.02915194071829319,"dict_items([('hidden_units', 361), ('learning_rate', 0.11457266580480256)])",12,"tensor(53.9534, grad_fn=<MseLossBackward>)",23.19,31.391571
たけびし,2020,Q4,11,63,37,0.02546323649585247,"dict_items([('hidden_units', 911), ('learning_rate', 0.04491605013906707)])",12,"tensor(51.9692, grad_fn=<MseLossBackward>)",18.756794,17.637182
なとり,2018,Q1,0,68,32,0.8847506642341614,"dict_items([('hidden_units', 587), ('learning_rate', 0.013814769866031366)])",561,"tensor(1.3398e-11, grad_fn=<MseLossBackward>)",21.3,17.58479
なとり,2018,Q2,1,69,31,0.832299530506134,"dict_items([('hidden_units', 435), ('learning_rate', 0.022921277858073016)])",438,"tensor(5.4775e-12, grad_fn=<MseLossBackward>)",19.69,-0.55445474
なとり,2018,Q3,2,69,31,0.6603265404701233,"dict_items([('hidden_units', 341), ('learning_rate', 0.03645730442069285)])",313,"tensor(4.6997e-10, grad_fn=<MseLossBackward>)",65.76,51.122913
なとり,2018,Q4,3,67,33,0.7171043753623962,"dict_items([('hidden_units', 358), ('learning_rate', 0.031075001416857383)])",369,"tensor(1.3259e-11, grad_fn=<MseLossBackward>)",-22.13,-17.456408
なとり,2019,Q1,4,47,53,0.9612076282501221,"dict_items([('hidden_units', 104), ('learning_rate', 0.04835734000455132)])",845,"tensor(3.9711e-11, grad_fn=<MseLossBackward>)",13.46,44.67438
なとり,2019,Q2,5,54,46,0.8793818354606628,"dict_items([('hidden_units', 132), ('learning_rate', 0.05362739665443737)])",880,"tensor(2.1653e-11, grad_fn=<MseLossBackward>)",22.43,36.731865
なとり,2019,Q3,6,58,42,0.5539494156837463,"dict_items([('hidden_units', 257), ('learning_rate', 0.07876037378927989)])",171,"tensor(1.4193e-05, grad_fn=<MseLossBackward>)",60.8,60.398033
なとり,2019,Q4,7,55,45,0.6399350166320801,"dict_items([('hidden_units', 171), ('learning_rate', 0.11328865660516838)])",344,"tensor(1.4702e-08, grad_fn=<MseLossBackward>)",-8.81,-15.165751
なとり,2020,Q1,8,63,37,0.9790428280830383,"dict_items([('hidden_units', 58), ('learning_rate', 0.04377946195900363)])",1420,"tensor(1.9041e-10, grad_fn=<MseLossBackward>)",23.99,13.435854
なとり,2020,Q2,9,59,41,0.9485836625099182,"dict_items([('hidden_units', 45), ('learning_rate', 0.09103591067856616)])",557,"tensor(0.2106, grad_fn=<MseLossBackward>)",32.72,21.180702
なとり,2020,Q3,10,59,41,0.9012219905853271,"dict_items([('hidden_units', 459), ('learning_rate', 0.013569885601708671)])",800,"tensor(1.0383e-11, grad_fn=<MseLossBackward>)",97.8,64.25652
なとり,2020,Q4,11,56,44,0.9655818939208984,"dict_items([('hidden_units', 91), ('learning_rate', 0.03197362551113727)])",1681,"tensor(3.0890e-06, grad_fn=<MseLossBackward>)",-16.530643,-13.881065
はせがわ,2018,Q1,0,70,30,0.8163757920265198,"dict_items([('hidden_units', 50), ('learning_rate', 0.0012907396952705702)])",7230,"tensor(1.1241e-09, grad_fn=<MseLossBackward>)",-7.11,3.7479005
はせがわ,2018,Q2,1,81,19,0.8149561285972595,"dict_items([('hidden_units', 28), ('learning_rate', 0.02250803339759749)])",2291,"tensor(4.3097e-10, grad_fn=<MseLossBackward>)",25.19,26.124662
はせがわ,2018,Q3,2,78,22,0.8200035691261292,"dict_items([('hidden_units', 147), ('learning_rate', 2.8952960233492834e-05)])",10000,"tensor(55.7401, grad_fn=<MseLossBackward>)",-5.23,6.535405
はせがわ,2018,Q4,3,89,11,0.8084381222724915,"dict_items([('hidden_units', 62), ('learning_rate', 2.4820644393377213e-05)])",10000,"tensor(112.0045, grad_fn=<MseLossBackward>)",-5.41,14.780645
はせがわ,2019,Q1,4,76,24,0.7884459495544434,"dict_items([('hidden_units', 595), ('learning_rate', 4.5261018293718515e-05)])",10000,"tensor(3.1990, grad_fn=<MseLossBackward>)",-23.87,-0.8403251
はせがわ,2019,Q2,5,69,31,0.9378867149353027,"dict_items([('hidden_units', 141), ('learning_rate', 9.783797277120768e-05)])",10000,"tensor(1.1992, grad_fn=<MseLossBackward>)",22.19,4.180232
はせがわ,2019,Q3,6,83,17,0.909018337726593,"dict_items([('hidden_units', 294), ('learning_rate', 9.712212997548511e-05)])",10000,"tensor(0.0066, grad_fn=<MseLossBackward>)",-24.21,-12.089277
はせがわ,2019,Q4,7,74,26,0.8940138816833496,"dict_items([('hidden_units', 627), ('learning_rate', 4.5290694195793306e-05)])",10000,"tensor(2.0596, grad_fn=<MseLossBackward>)",-35.57,-28.194265
はせがわ,2020,Q1,8,57,43,0.911121666431427,"dict_items([('hidden_units', 831), ('learning_rate', 2.782145353608352e-05)])",10000,"tensor(8.7089, grad_fn=<MseLossBackward>)",-21.2,-36.714718
はせがわ,2020,Q2,9,74,26,0.9089979529380798,"dict_items([('hidden_units', 151), ('learning_rate', 0.00043213547014116547)])",8749,"tensor(3.1411e-10, grad_fn=<MseLossBackward>)",26.24,-7.2957706
はせがわ,2020,Q3,10,83,17,0.9759460091590881,"dict_items([('hidden_units', 1), ('learning_rate', 0.00032483503450866756)])",10000,"tensor(332.7311, grad_fn=<MseLossBackward>)",6.87,-0.2336936
はせがわ,2020,Q4,11,59,41,0.8822674751281738,"dict_items([('hidden_units', 61), ('learning_rate', 0.17307725688347994)])",581,"tensor(0.0133, grad_fn=<MseLossBackward>)",-0.04,15.348308
はるやまホールディングス,2018,Q1,0,75,25,0.7977244257926941,"dict_items([('hidden_units', 25), ('learning_rate', 0.08297538307172422)])",1223,"tensor(5.6733, grad_fn=<MseLossBackward>)",-19.79,8.53555
はるやまホールディングス,2018,Q2,1,76,24,0.8311373591423035,"dict_items([('hidden_units', 274), ('learning_rate', 0.008179137477370133)])",1534,"tensor(1.0805e-10, grad_fn=<MseLossBackward>)",-44.17,-37.989025
はるやまホールディングス,2018,Q3,2,60,40,0.8479974269866943,"dict_items([('hidden_units', 372), ('learning_rate', 0.006286972242544774)])",1172,"tensor(1.0490e-10, grad_fn=<MseLossBackward>)",19.38,39.2079
はるやまホールディングス,2018,Q4,3,63,37,0.9559051394462585,"dict_items([('hidden_units', 29), ('learning_rate', 0.20865956891206508)])",312,"tensor(12.6840, grad_fn=<MseLossBackward>)",29.35,23.460127
はるやまホールディングス,2019,Q1,4,68,32,0.8572492599487305,"dict_items([('hidden_units', 198), ('learning_rate', 0.05254151105245871)])",477,"tensor(7.6203e-11, grad_fn=<MseLossBackward>)",-14.51,-15.581205
はるやまホールディングス,2019,Q2,5,67,33,0.9809820652008057,"dict_items([('hidden_units', 68), ('learning_rate', 3.373282788253029e-05)])",10000,"tensor(719.2055, grad_fn=<MseLossBackward>)",-30.54,-4.2292256
はるやまホールディングス,2019,Q3,6,68,32,0.9826791286468506,"dict_items([('hidden_units', 1), ('learning_rate', 0.00032483503450866756)])",10000,"tensor(1122.5425, grad_fn=<MseLossBackward>)",11.98,6.600251
はるやまホールディングス,2019,Q4,7,59,41,0.8440287709236145,"dict_items([('hidden_units', 57), ('learning_rate', 0.21814155587667292)])",368,"tensor(7.8294, grad_fn=<MseLossBackward>)",57.78,49.40025
はるやまホールディングス,2020,Q1,8,69,31,0.7398467659950256,"dict_items([('hidden_units', 29), ('learning_rate', 0.5200210985799915)])",16,"tensor(166.2007, grad_fn=<MseLossBackward>)",-87.77,-14.422982
はるやまホールディングス,2020,Q2,9,57,43,0.7953073978424072,"dict_items([('hidden_units', 11), ('learning_rate', 0.5355409975643296)])",135,"tensor(113.4901, grad_fn=<MseLossBackward>)",-68.11,-44.14003
はるやまホールディングス,2020,Q3,10,77,23,0.9797565340995789,"dict_items([('hidden_units', 418), ('learning_rate', 0.006215114617976118)])",1048,"tensor(8.0186e-11, grad_fn=<MseLossBackward>)",-104.92,-4.7106857
はるやまホールディングス,2020,Q4,11,62,38,0.9098159670829773,"dict_items([('hidden_units', 181), ('learning_rate', 0.10928058359845591)])",498,"tensor(2.6496e-11, grad_fn=<MseLossBackward>)",-125.87365,-79.162445
ぴあ,2018,Q1,0,75,25,0.054905712604522705,"dict_items([('hidden_units', 542), ('learning_rate', 0.03235265659701238)])",153,"tensor(3.6769e-05, grad_fn=<MseLossBackward>)",30.59,0.78458655
ぴあ,2018,Q2,1,67,33,0.1297050565481186,"dict_items([('hidden_units', 488), ('learning_rate', 0.030048085397935985)])",148,"tensor(0.0001, grad_fn=<MseLossBackward>)",8.56,15.082782
ぴあ,2018,Q3,2,67,33,0.1229046955704689,"dict_items([('hidden_units', 551), ('learning_rate', 0.031009703163021096)])",92,"tensor(0.0138, grad_fn=<MseLossBackward>)",14.05,7.792984
ぴあ,2018,Q4,3,65,35,0.1306660920381546,"dict_items([('hidden_units', 652), ('learning_rate', 0.026068440707687893)])",152,"tensor(8.6469e-05, grad_fn=<MseLossBackward>)",5.71,13.537905
ぴあ,2019,Q1,4,67,33,0.1702393740415573,"dict_items([('hidden_units', 292), ('learning_rate', 0.03436125267410088)])",619,"tensor(5.0993e-12, grad_fn=<MseLossBackward>)",7.95,15.102345
ぴあ,2019,Q2,5,65,35,0.15940983593463898,"dict_items([('hidden_units', 399), ('learning_rate', 0.02733646432597208)])",164,"tensor(4.2903e-05, grad_fn=<MseLossBackward>)",15.83,8.076371
ぴあ,2019,Q3,6,67,33,0.19404082000255585,"dict_items([('hidden_units', 420), ('learning_rate', 0.026674574591455752)])",495,"tensor(2.8978e-12, grad_fn=<MseLossBackward>)",-1.17,12.108714
ぴあ,2019,Q4,7,68,32,0.9569485187530518,"dict_items([('hidden_units', 147), ('learning_rate', 2.8952960233492834e-05)])",10000,"tensor(120.6751, grad_fn=<MseLossBackward>)",-13.68,8.067782
