,,,,決算期,決算月数,連結基準フラグ,決算種別フラグ,決算発表日,売上高・営業収益［累計］,売上総利益［累計］,営業利益［累計］,経常利益／税金等調整前当期純利益［累計］,売上高・営業収益［３ヵ月］,売上総利益［３ヵ月］,営業利益［３ヵ月］,経常利益／税金等調整前当期純利益［３ヵ月］,当期純利益（連結）［累計］,当期純利益（連結）［３ヵ月］,１株当たり利益［累計］,１株当たり利益（遡及調整後）［累計］,１株当たり利益［３ヵ月］,１株当たり利益（遡及調整後）［３ヵ月］,潜在株式調整後１株当たり利益［累計］,潜在株式調整後１株当たり利益（遡及調整後）［累計］,潜在株式調整後１株当たり利益［３ヵ月］,潜在株式調整後１株当たり利益（遡及調整後）［３ヵ月］,棚卸資産,資本的支出,期末従業員数,販売費及び一般管理費［累計］,販売費及び一般管理費［３ヵ月］,受取手形・売掛金／売掛金及びその他の短期債権
,,,,FINFSTA'ACC,FINFSTA'MACC,FINFSTA'A01_SECFLG,FINFSTA'A01_HACC,FINFSTA'A01036,FINFSTA'D01021,FINFSTA'D01026,FINFSTA'D01029,FINFSTA'D01066,FINFSTA'E01021,FINFSTA'E01026,FINFSTA'E01029,FINFSTA'E01066,FINFSTA'D01114,FINFSTA'E01114,FINFSTA'A01059,FINFSTA'A01161,FINFSTA'A01060,FINFSTA'A01162,FINFSTA'A01062,FINFSTA'A01164,FINFSTA'A01063,FINFSTA'A01165,FINFSTA'B01034,FINFSTA'I_A01143,FINFSTA'H01021,FINFSTA'D01027,FINFSTA'E01027,FINFSTA'B01023
,,,,年月,ヶ月,1桁コード,2桁コード,年月日,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,円,円,円,円,円,円,円,円,百万円,百万円,人,百万円,百万円,百万円
月次(M),2008/09,トヨタ自動車,T7203,2008/09,6,2,22,2008/11/06,12190405,2286572,582068,636487,5975275,1061209,169477,183433,-,-,156.92,-,44.53,-,156.9,-,44.52,-,1961300,1338814,324537,1273137,644681,1716413
月次(M),2008/12,トヨタ自動車,T7203,2008/12,9,2,23,2009/02/06,16993248,2934400,221517,354348,4802843,647828,-360551,-282139,-,-,104.66,-,-52.49,-,104.66,-,-52.49,-,1858850,1831806,322045,1928967,655830,1490876
月次(M),2009/03,トヨタ自動車,T7203,2009/03,12,2,10,2009/05/08,20529570,3061154,-461011,-560381,3536322,-,-682500,-914729,-,-,-139.13,-,-244.18,-,-139.13,-,-,-,1459394,2324897,320808,2534781,-,1407783
月次(M),2009/06,トヨタ自動車,T7203,2009/06,3,2,21,2009/08/04,3836077,467217,-194863,-138508,3836077,467217,-194863,-138508,-,-,-24.82,-,-24.82,-,-24.82,-,-24.82,-,1483992,388562,324222,478125,478125,1405885
月次(M),2009/09,トヨタ自動車,T7203,2009/09,6,2,22,2009/11/05,8377643,1165249,-136859,-62975,4541566,698032,58004,75533,-,-,-17.85,-,6.96,-,-17.85,-,6.96,-,1460746,758752,322650,937578,459453,1482453
月次(M),2009/12,トヨタ自動車,T7203,2009/12,9,2,23,2010/02/04,13670533,2067608,52250,161912,5292890,902359,189109,224887,-,-,31.01,-,48.86,-,31.01,-,48.86,-,1416601,1383167,321274,1480454,542876,1631793
月次(M),2010/03,トヨタ自動車,T7203,2010/03,12,2,10,2010/05/11,18950973,2979477,147516,291468,5280440,-,95300,129556,-,-,66.79,-,35.79,-,66.79,-,-,-,1422373,1775055,320590,2119660,-,1900008
月次(M),2010/06,トヨタ自動車,T7203,2010/06,3,2,21,2010/08/04,4871825,899417,211663,263004,4871825,899417,211663,263004,210582,210582,60.74,-,60.74,-,60.74,-,60.74,-,1412370,618199,319910,518082,518082,1549333
月次(M),2010/09,トヨタ自動車,T7203,2010/09,6,2,22,2010/11/05,9678492,1584898,323120,392073,4806667,735481,111457,129069,326040,115458,92.21,-,31.47,-,92.21,-,31.47,-,1379433,893723,318001,921721,453639,1585350
月次(M),2010/12,トヨタ自動車,T7203,2010/12,9,2,23,2011/02/08,14351605,2303340,422190,521741,4673113,718442,99070,129668,436916,110876,122.06,-,29.86,-,122.06,-,29.86,-,1373625,1256704,317734,1400797,479076,1444942
