企業名,会計年度,四半期,y_hat_umlp
アルファシステムズ,2018,Q4,38.31374
アルファシステムズ,2019,Q1,22.500624
アルファシステムズ,2019,Q2,18.534603
アルファシステムズ,2019,Q3,29.753807
アルファシステムズ,2019,Q4,46.83884
アルファシステムズ,2020,Q1,26.18713
アルファシステムズ,2020,Q2,41.336735
アルファシステムズ,2020,Q3,18.972736
アルファシステムズ,2020,Q4,53.636097
アルフレッサ　ホールディングス,2018,Q1,69.31684
アルフレッサ　ホールディングス,2018,Q2,19.900093
アルフレッサ　ホールディングス,2018,Q3,58.048462
アルフレッサ　ホールディングス,2018,Q4,53.95507
アルフレッサ　ホールディングス,2019,Q1,109.42197
アルフレッサ　ホールディングス,2019,Q2,18.750055
アルフレッサ　ホールディングス,2019,Q3,74.198616
アルフレッサ　ホールディングス,2019,Q4,22.08995
アルフレッサ　ホールディングス,2020,Q1,41.46088
アルフレッサ　ホールディングス,2020,Q2,59.745785
アルフレッサ　ホールディングス,2020,Q3,34.471043
アルフレッサ　ホールディングス,2020,Q4,44.656822
アルプスアルパイン,2018,Q1,8.548728
アルプスアルパイン,2018,Q2,58.952473
アルプスアルパイン,2018,Q3,103.833694
アルプスアルパイン,2018,Q4,29.913427
アルプスアルパイン,2019,Q1,4.672756
アルプスアルパイン,2019,Q2,23.05392
アルプスアルパイン,2019,Q3,38.530533
アルプスアルパイン,2019,Q4,-3.7293088
アルプスアルパイン,2020,Q1,-2.0822294
アルプスアルパイン,2020,Q2,1.3390331
アルプスアルパイン,2020,Q3,3.2273276
アルプスアルパイン,2020,Q4,22.653757
アルプス物流,2018,Q1,44.015026
アルプス物流,2018,Q2,16.70956
アルプス物流,2018,Q3,20.42825
アルプス物流,2018,Q4,20.612806
アルプス物流,2019,Q1,20.488619
アルプス物流,2019,Q2,26.24472
アルプス物流,2019,Q3,32.19218
アルプス物流,2019,Q4,11.701139
アルプス物流,2020,Q1,17.518362
アルプス物流,2020,Q2,19.879948
アルプス物流,2020,Q3,16.673424
アルプス物流,2020,Q4,26.139425
アンリツ,2018,Q1,3.0660524
アンリツ,2018,Q2,10.158783
アンリツ,2018,Q3,6.5019774
アンリツ,2018,Q4,29.02776
アンリツ,2019,Q1,23.882887
アンリツ,2019,Q2,9.937064
アンリツ,2019,Q3,17.323994
アンリツ,2019,Q4,17.191032
アンリツ,2020,Q1,13.526311
アンリツ,2020,Q2,29.496618
アンリツ,2020,Q3,18.598087
アンリツ,2020,Q4,13.715114
アートネイチャー,2018,Q1,18.872574
アートネイチャー,2018,Q2,31.428495
アートネイチャー,2018,Q3,14.86235
アートネイチャー,2018,Q4,-5.240474
アートネイチャー,2019,Q1,20.582716
アートネイチャー,2019,Q2,6.3028793
アートネイチャー,2019,Q3,20.881758
アートネイチャー,2019,Q4,8.008786
アートネイチャー,2020,Q1,20.487394
アートネイチャー,2020,Q2,16.064112
アートネイチャー,2020,Q3,-5.360306
アートネイチャー,2020,Q4,51.499924
アーレスティ,2018,Q1,43.711403
アーレスティ,2018,Q2,6.6765356
アーレスティ,2018,Q3,19.305717
アーレスティ,2018,Q4,44.471325
アーレスティ,2019,Q1,19.066912
アーレスティ,2019,Q2,30.903854
アーレスティ,2019,Q3,70.468704
アーレスティ,2019,Q4,42.0861
アーレスティ,2020,Q1,82.55464
アーレスティ,2020,Q2,26.764565
アーレスティ,2020,Q3,-10.2439785
アーレスティ,2020,Q4,38.88078
イエローハット,2018,Q1,57.638515
イエローハット,2018,Q2,42.722706
イエローハット,2018,Q3,111.370964
イエローハット,2018,Q4,41.724125
イエローハット,2019,Q1,65.54204
イエローハット,2019,Q2,55.205273
イエローハット,2019,Q3,141.81656
イエローハット,2019,Q4,65.3031
イエローハット,2020,Q1,40.87352
イエローハット,2020,Q2,67.09311
イエローハット,2020,Q3,27.949074
イエローハット,2020,Q4,57.123665
イソライト工業,2018,Q1,18.207619
イソライト工業,2018,Q2,8.622535
イソライト工業,2018,Q3,22.246695
イソライト工業,2018,Q4,30.511162
イソライト工業,2019,Q1,-2.2333808
イソライト工業,2019,Q2,-19.976454
イソライト工業,2019,Q3,10.454116
イソライト工業,2019,Q4,-0.26384205
イソライト工業,2020,Q1,16.53789
イソライト工業,2020,Q2,10.238037
イソライト工業,2020,Q3,19.57922
イソライト工業,2020,Q4,19.49883
イチカワ,2018,Q1,0.15258846
イチカワ,2018,Q2,-0.59834874
イチカワ,2018,Q3,-4.2002034
イチカワ,2018,Q4,1.9017755
イチカワ,2019,Q1,-3.0365305
イチカワ,2019,Q2,13.995607
イチカワ,2019,Q3,-0.60905594
イチカワ,2019,Q4,5.7762446
イチカワ,2020,Q1,3.6483305
イチカワ,2020,Q2,10.528299
イチカワ,2020,Q3,15.078291
イチカワ,2020,Q4,0.924065
