企業名,会計年度,四半期,y_hat_rw
アルファ,2018,Q3,79.72
アルファ,2018,Q4,75.71
アルファ,2019,Q1,26.51
アルファ,2019,Q2,45.41
アルファ,2019,Q3,39.83
アルファ,2019,Q4,13.21
アルファ,2020,Q1,-225.22
アルファ,2020,Q2,-51.78
アルファ,2020,Q3,-109.87
アルファ,2020,Q4,32.53
アルファシステムズ,2018,Q1,49.42
アルファシステムズ,2018,Q2,36.59
アルファシステムズ,2018,Q3,36.02
アルファシステムズ,2018,Q4,29.1
アルファシステムズ,2019,Q1,43.52
アルファシステムズ,2019,Q2,25.46
アルファシステムズ,2019,Q3,46.66
アルファシステムズ,2019,Q4,38.63
アルファシステムズ,2020,Q1,52.62
アルファシステムズ,2020,Q2,31.79
アルファシステムズ,2020,Q3,38.9
アルファシステムズ,2020,Q4,38.2
アルフレッサ　ホールディングス,2018,Q1,49.52
アルフレッサ　ホールディングス,2018,Q2,38.62
アルフレッサ　ホールディングス,2018,Q3,39.71
アルフレッサ　ホールディングス,2018,Q4,83.73
アルフレッサ　ホールディングス,2019,Q1,33.98
アルフレッサ　ホールディングス,2019,Q2,37.27
アルフレッサ　ホールディングス,2019,Q3,48.38
アルフレッサ　ホールディングス,2019,Q4,46.61
アルフレッサ　ホールディングス,2020,Q1,58.0
アルフレッサ　ホールディングス,2020,Q2,26.98
アルフレッサ　ホールディングス,2020,Q3,25.44
アルフレッサ　ホールディングス,2020,Q4,37.74
アルプスアルパイン,2018,Q1,15.19
アルプスアルパイン,2018,Q2,19.65
アルプスアルパイン,2018,Q3,69.22
アルプスアルパイン,2018,Q4,49.96
アルプスアルパイン,2019,Q1,-23.64
アルプスアルパイン,2019,Q2,-5.39
アルプスアルパイン,2019,Q3,34.35
アルプスアルパイン,2019,Q4,-3.26
アルプスアルパイン,2020,Q1,-45.39
アルプスアルパイン,2020,Q2,-44.56
アルプスアルパイン,2020,Q3,0.58
アルプスアルパイン,2020,Q4,33.36
アルプス物流,2018,Q1,12.43
アルプス物流,2018,Q2,14.27
アルプス物流,2018,Q3,19.39
アルプス物流,2018,Q4,24.95
アルプス物流,2019,Q1,12.16
アルプス物流,2019,Q2,16.22
アルプス物流,2019,Q3,18.49
アルプス物流,2019,Q4,23.88
アルプス物流,2020,Q1,9.02
アルプス物流,2020,Q2,9.59
アルプス物流,2020,Q3,12.95
アルプス物流,2020,Q4,31.33
アンリツ,2018,Q1,10.31
アンリツ,2018,Q2,12.31
アンリツ,2018,Q3,10.44
アンリツ,2018,Q4,22.8
アンリツ,2019,Q1,19.65
アンリツ,2019,Q2,12.93
アンリツ,2019,Q3,20.96
アンリツ,2019,Q4,26.57
アンリツ,2020,Q1,36.74
アンリツ,2020,Q2,25.58
アンリツ,2020,Q3,25.8
アンリツ,2020,Q4,24.62
アートネイチャー,2018,Q1,1.49
アートネイチャー,2018,Q2,11.24
アートネイチャー,2018,Q3,17.02
アートネイチャー,2018,Q4,15.39
アートネイチャー,2019,Q1,13.59
アートネイチャー,2019,Q2,6.38
アートネイチャー,2019,Q3,52.75
