企業名,会計年度,四半期,y_hat_srw
アマノ,2018,Q3,34.01
アマノ,2018,Q4,44.53
アマノ,2019,Q1,10.11
アマノ,2019,Q2,40.44
アマノ,2019,Q3,19.17
アマノ,2019,Q4,51.64
アマノ,2020,Q1,19.01
アマノ,2020,Q2,43.6
アマノ,2020,Q3,33.06
アマノ,2020,Q4,45.72
アミューズ,2018,Q1,20.65
アミューズ,2018,Q2,10.38
アミューズ,2018,Q3,59.43
アミューズ,2018,Q4,18.81
アミューズ,2019,Q1,54.82
アミューズ,2019,Q2,81.28
アミューズ,2019,Q3,125.47
アミューズ,2019,Q4,76.58
アミューズ,2020,Q1,102.03
アミューズ,2020,Q2,31.73
アミューズ,2020,Q3,72.0
アミューズ,2020,Q4,-31.91
アリアケジャパン,2018,Q1,58.54
アリアケジャパン,2018,Q2,59.16
アリアケジャパン,2018,Q3,72.94
アリアケジャパン,2018,Q4,63.9
アリアケジャパン,2019,Q1,64.09
アリアケジャパン,2019,Q2,64.89
アリアケジャパン,2019,Q3,36.19
アリアケジャパン,2019,Q4,358.92
アリアケジャパン,2020,Q1,61.63
アリアケジャパン,2020,Q2,58.45
アリアケジャパン,2020,Q3,75.94
アリアケジャパン,2020,Q4,67.19
アルインコ,2018,Q1,21.78
アルインコ,2018,Q2,28.18
アルインコ,2018,Q3,31.83
アルインコ,2018,Q4,0.16
アルインコ,2019,Q1,22.31
アルインコ,2019,Q2,26.12
アルインコ,2019,Q3,37.19
アルインコ,2019,Q4,10.79
アルインコ,2020,Q1,24.13
アルインコ,2020,Q2,41.64
アルインコ,2020,Q3,50.41
アルインコ,2020,Q4,-7.45
アルコニックス,2018,Q1,111.31
アルコニックス,2018,Q2,52.07
アルコニックス,2018,Q3,56.81
アルコニックス,2018,Q4,42.03
アルコニックス,2019,Q1,63.25
アルコニックス,2019,Q2,43.72
アルコニックス,2019,Q3,32.66
アルコニックス,2019,Q4,15.45
アルコニックス,2020,Q1,35.67
アルコニックス,2020,Q2,40.04
アルコニックス,2020,Q3,53.1
アルコニックス,2020,Q4,14.44
アルゴグラフィックス,2018,Q1,57.52
アルゴグラフィックス,2018,Q2,57.62
アルゴグラフィックス,2018,Q3,51.09
アルゴグラフィックス,2018,Q4,75.7
アルゴグラフィックス,2019,Q1,87.21
アルゴグラフィックス,2019,Q2,70.96
アルゴグラフィックス,2019,Q3,85.69
アルゴグラフィックス,2019,Q4,87.32217947570904
アルゴグラフィックス,2020,Q1,53.48
アルゴグラフィックス,2020,Q2,51.01
アルゴグラフィックス,2020,Q3,48.92
アルゴグラフィックス,2020,Q4,43.93
アルビス,2018,Q1,75.51
アルビス,2018,Q2,79.39
アルビス,2018,Q3,76.44
アルビス,2018,Q4,56.22
アルビス,2019,Q1,63.11
アルビス,2019,Q2,58.21
アルビス,2019,Q3,74.95
アルビス,2019,Q4,38.8
アルビス,2020,Q1,8.63
アルビス,2020,Q2,30.79
アルビス,2020,Q3,37.64
アルビス,2020,Q4,28.19
アルファ,2018,Q1,71.48
アルファ,2018,Q2,52.69
アルファ,2018,Q3,-0.52
アルファ,2018,Q4,87.99
アルファ,2019,Q1,42.04
アルファ,2019,Q2,79.72
アルファ,2019,Q3,75.71
アルファ,2019,Q4,26.51
アルファ,2020,Q1,45.41
アルファ,2020,Q2,39.83
アルファ,2020,Q3,13.21
アルファ,2020,Q4,-225.22
アルファシステムズ,2018,Q1,28.24
アルファシステムズ,2018,Q2,32.56
アルファシステムズ,2018,Q3,24.08
アルファシステムズ,2018,Q4,49.42
アルファシステムズ,2019,Q1,36.59
アルファシステムズ,2019,Q2,36.02
アルファシステムズ,2019,Q3,29.1
アルファシステムズ,2019,Q4,43.52
アルファシステムズ,2020,Q1,25.46
アルファシステムズ,2020,Q2,46.66
アルファシステムズ,2020,Q3,38.63
アルファシステムズ,2020,Q4,52.62
アルフレッサ　ホールディングス,2018,Q1,26.89
アルフレッサ　ホールディングス,2018,Q2,32.8
アルフレッサ　ホールディングス,2018,Q3,55.04
アルフレッサ　ホールディングス,2018,Q4,49.52
アルフレッサ　ホールディングス,2019,Q1,38.62
アルフレッサ　ホールディングス,2019,Q2,39.71
アルフレッサ　ホールディングス,2019,Q3,83.73
アルフレッサ　ホールディングス,2019,Q4,33.98
アルフレッサ　ホールディングス,2020,Q1,37.27
アルフレッサ　ホールディングス,2020,Q2,48.38
アルフレッサ　ホールディングス,2020,Q3,46.61
アルフレッサ　ホールディングス,2020,Q4,58.0
アルプスアルパイン,2018,Q1,32.3
アルプスアルパイン,2018,Q2,94.58
アルプスアルパイン,2018,Q3,99.84
アルプスアルパイン,2018,Q4,15.19
アルプスアルパイン,2019,Q1,19.65
アルプスアルパイン,2019,Q2,69.22
アルプスアルパイン,2019,Q3,49.96
アルプスアルパイン,2019,Q4,-23.64
アルプスアルパイン,2020,Q1,-5.39
アルプスアルパイン,2020,Q2,34.35
アルプスアルパイン,2020,Q3,-3.26
アルプスアルパイン,2020,Q4,-45.39
アルプス物流,2018,Q1,18.85
アルプス物流,2018,Q2,16.69
アルプス物流,2018,Q3,21.08
アルプス物流,2018,Q4,12.43
アルプス物流,2019,Q1,14.27
アルプス物流,2019,Q2,19.39
アルプス物流,2019,Q3,24.95
アルプス物流,2019,Q4,12.16
アルプス物流,2020,Q1,16.22
アルプス物流,2020,Q2,18.49
アルプス物流,2020,Q3,23.88
アルプス物流,2020,Q4,9.02
アンリツ,2018,Q1,-1.62
アンリツ,2018,Q2,3.03
アンリツ,2018,Q3,9.26
アンリツ,2018,Q4,10.31
アンリツ,2019,Q1,12.31
アンリツ,2019,Q2,10.44
アンリツ,2019,Q3,22.8
アンリツ,2019,Q4,19.65
アンリツ,2020,Q1,12.93
アンリツ,2020,Q2,20.96
アンリツ,2020,Q3,26.57
アンリツ,2020,Q4,36.74
アートネイチャー,2018,Q1,-2.25
アートネイチャー,2018,Q2,13.94
アートネイチャー,2018,Q3,13.93
アートネイチャー,2018,Q4,1.49
アートネイチャー,2019,Q1,11.24
アートネイチャー,2019,Q2,17.02
アートネイチャー,2019,Q3,15.39
アートネイチャー,2019,Q4,13.59
アートネイチャー,2020,Q1,6.38
アートネイチャー,2020,Q2,52.75
アートネイチャー,2020,Q3,-14.62
アートネイチャー,2020,Q4,2.87
アーレスティ,2018,Q1,32.91
アーレスティ,2018,Q2,15.65
アーレスティ,2018,Q3,42.7
アーレスティ,2018,Q4,42.14
アーレスティ,2019,Q1,30.0
アーレスティ,2019,Q2,-15.94
アーレスティ,2019,Q3,-63.61
アーレスティ,2019,Q4,65.85
アーレスティ,2020,Q1,11.19
アーレスティ,2020,Q2,-9.99
アーレスティ,2020,Q3,2.87
アーレスティ,2020,Q4,-31.11
イエローハット,2018,Q1,52.69
イエローハット,2018,Q2,44.6
イエローハット,2018,Q3,144.73
イエローハット,2018,Q4,54.68
イエローハット,2019,Q1,56.76
イエローハット,2019,Q2,52.81
イエローハット,2019,Q3,157.88
イエローハット,2019,Q4,46.63167661749522
