企業名,会計年度,四半期,y_hat_umlp
アドウェイズ,2020,Q4,73.968864
アドソル日進,2018,Q1,15.640407
アドソル日進,2018,Q2,16.288599
アドソル日進,2018,Q3,17.267776
アドソル日進,2018,Q4,14.058269
アドソル日進,2019,Q1,18.591082
アドソル日進,2019,Q2,20.062279
アドソル日進,2019,Q3,20.084385
アドソル日進,2019,Q4,15.943005
アドソル日進,2020,Q1,20.3562
アドソル日進,2020,Q2,21.437183
アドソル日進,2020,Q3,22.853022
アドソル日進,2020,Q4,14.668964
アドバネクス,2018,Q1,-12.9248085
アドバネクス,2018,Q2,1.8974472
アドバネクス,2018,Q3,10.567673
アドバネクス,2018,Q4,0.2181053
アドバネクス,2019,Q1,5.5800595
アドバネクス,2019,Q2,-2.9476633
アドバネクス,2019,Q3,-9.776622
アドバネクス,2019,Q4,-1.7356708
アドバネクス,2020,Q1,-10.571884
アドバネクス,2020,Q2,-24.341858
アドバネクス,2020,Q3,-30.033316
アドバネクス,2020,Q4,85.7018
アドバンテスト,2018,Q1,5.483136
アドバンテスト,2018,Q2,26.814041
アドバンテスト,2018,Q3,10.244047
アドバンテスト,2018,Q4,74.50401
アドバンテスト,2019,Q1,51.52952
アドバンテスト,2019,Q2,54.615753
アドバンテスト,2019,Q3,98.18994
アドバンテスト,2019,Q4,46.974842
アドバンテスト,2020,Q1,75.924194
アドバンテスト,2020,Q2,66.02803
アドバンテスト,2020,Q3,59.66295
アドバンテスト,2020,Q4,74.89152
アドヴァングループ,2018,Q1,18.30489
アドヴァングループ,2018,Q2,35.46738
アドヴァングループ,2018,Q3,21.955385
アドヴァングループ,2018,Q4,15.419363
アドヴァングループ,2019,Q1,23.175121
アドヴァングループ,2019,Q2,25.997282
アドヴァングループ,2019,Q3,30.46823
アドヴァングループ,2019,Q4,30.089836
アドヴァングループ,2020,Q1,22.784533
アドヴァングループ,2020,Q2,14.160259
アドヴァングループ,2020,Q3,35.0847
アドヴァングループ,2020,Q4,34.626297
アネスト岩田,2018,Q1,13.585875
アネスト岩田,2018,Q2,18.137825
アネスト岩田,2018,Q3,12.374236
アネスト岩田,2018,Q4,17.010077
アネスト岩田,2019,Q1,19.926653
アネスト岩田,2019,Q2,16.851736
