企業名,会計年度,四半期,y_hat_sarima_g
アドソル日進,2018,Q4,10.794683860867032
アドソル日進,2019,Q1,18.681197191439804
アドソル日進,2019,Q2,22.57937034800809
アドソル日進,2019,Q3,20.596436102377176
アドソル日進,2019,Q4,15.791304483784279
アドソル日進,2020,Q1,23.12672586974052
アドソル日進,2020,Q2,26.08808802253525
アドソル日進,2020,Q3,27.15230755870616
アドソル日進,2020,Q4,18.21464491176796
アドバネクス,2018,Q1,-6.295964137275638
アドバネクス,2018,Q2,-1.8181418168462882
アドバネクス,2018,Q3,5.553502436198764
アドバネクス,2018,Q4,-0.17878910824464
アドバネクス,2019,Q1,-7.319350735892897
アドバネクス,2019,Q2,-18.082841679222042
アドバネクス,2019,Q3,-2.3066836870587704
アドバネクス,2019,Q4,-9.315636922438461
アドバネクス,2020,Q1,-50.60362513847255
アドバネクス,2020,Q2,-53.28550391968574
アドバネクス,2020,Q3,-41.973272146632496
アドバネクス,2020,Q4,322.0622005598258
アドバンテスト,2018,Q1,28.915919257698512
アドバンテスト,2018,Q2,73.58081927277908
アドバンテスト,2018,Q3,76.14406857041774
アドバンテスト,2018,Q4,123.99581159781219
アドバンテスト,2019,Q1,67.1614211076685
アドバンテスト,2019,Q2,61.838463988847536
アドバンテスト,2019,Q3,52.75289181494771
アドバンテスト,2019,Q4,87.0498334634289
アドバンテスト,2020,Q1,73.84706550880988
アドバンテスト,2020,Q2,60.3491466014675
アドバンテスト,2020,Q3,49.51270920438326
アドバンテスト,2020,Q4,88.23754659205143
アドヴァングループ,2018,Q1,9.096116975672205
アドヴァングループ,2018,Q2,22.687252924973517
アドヴァングループ,2018,Q3,32.09914738909797
アドヴァングループ,2018,Q4,12.69423679356342
アドヴァングループ,2019,Q1,21.225167011247265
アドヴァングループ,2019,Q2,24.52032346639232
アドヴァングループ,2019,Q3,34.828464940127375
アドヴァングループ,2019,Q4,23.463253565298622
アドヴァングループ,2020,Q1,25.010284620517098
アドヴァングループ,2020,Q2,31.810112801891172
アドヴァングループ,2020,Q3,33.14111054523964
アドヴァングループ,2020,Q4,14.762408526703357
アネスト岩田,2018,Q1,18.45492362793765
アネスト岩田,2018,Q2,21.906436079468556
アネスト岩田,2018,Q3,18.415917659682542
アネスト岩田,2018,Q4,22.28727116441928
アネスト岩田,2019,Q1,17.672287308246418
アネスト岩田,2019,Q2,20.50271140247198
アネスト岩田,2019,Q3,16.176426243789876
アネスト岩田,2019,Q4,17.527678407372164
アネスト岩田,2020,Q1,15.721857313161859
アネスト岩田,2020,Q2,20.29600405830013
アネスト岩田,2020,Q3,12.655415960153064
アネスト岩田,2020,Q4,17.27483217094708
アマダ,2018,Q1,5.280267160599655
アマダ,2018,Q2,24.947149820316508
アマダ,2018,Q3,22.428007114388514
アマダ,2018,Q4,25.71289034269794
アマダ,2019,Q1,16.79176432651763
アマダ,2019,Q2,29.688338252599628
アマダ,2019,Q3,21.201202401913722
アマダ,2019,Q4,27.46606330275555
