企業名,会計年度,四半期,y_hat_ul1_i_tuned_simple,best_hyparam
アドソル日進,2018,Q4,16.286376888670393,[100]
アドソル日進,2019,Q1,17.876206250366376,[100]
アドソル日進,2019,Q2,18.787578534551532,[100]
アドソル日進,2019,Q3,17.876281759812635,[100]
アドソル日進,2019,Q4,17.80536236080326,[100]
アドソル日進,2020,Q1,18.23639788876758,[100]
アドソル日進,2020,Q2,18.961516241500462,[100]
アドソル日進,2020,Q3,18.917905130389347,[100]
アドソル日進,2020,Q4,19.885960685944905,[100]
アドバネクス,2018,Q1,4.250082961049373,[1000]
アドバネクス,2018,Q2,4.603138516604929,[1000]
アドバネクス,2018,Q3,4.334805183271595,[1000]
アドバネクス,2018,Q4,4.085638516604927,[1000]
アドバネクス,2019,Q1,3.787305183271594,[1000]
アドバネクス,2019,Q2,2.5598051832715942,[1000]
アドバネクス,2019,Q3,2.922582961049372,[1000]
アドバネクス,2019,Q4,2.514805183271594,[1000]
アドバネクス,2020,Q1,-0.1304725945061836,[1000]
アドバネクス,2020,Q2,-2.593805927839517,[1000]
アドバネクス,2020,Q3,-3.0090837056172948,[1000]
アドバネクス,2020,Q4,4.227027405493818,[1000]
アドバンテスト,2018,Q1,12.590619581973122,[0.001]
アドバンテスト,2018,Q2,38.98074938757328,[0.001]
アドバンテスト,2018,Q3,59.49017589435169,[0.001]
アドバンテスト,2018,Q4,67.10451810104978,[0.001]
アドバンテスト,2019,Q1,42.320888417448096,[0.001]
アドバンテスト,2019,Q2,47.29235614552023,[0.001]
アドバンテスト,2019,Q3,63.23030281347625,[0.001]
アドバンテスト,2019,Q4,52.15468882868865,[0.001]
アドバンテスト,2020,Q1,61.20109008646708,[0.001]
アドバンテスト,2020,Q2,53.42675721935444,[0.001]
アドバンテスト,2020,Q3,58.82683267110137,[0.001]
アドバンテスト,2020,Q4,59.51860154360938,[0.001]
アドヴァングループ,2018,Q1,15.607924201715564,[0.001]
アドヴァングループ,2018,Q2,25.744620461909285,[0.001]
アドヴァングループ,2018,Q3,22.000718476331073,[0.001]
アドヴァングループ,2018,Q4,21.95490775876172,[0.001]
アドヴァングループ,2019,Q1,28.60341691070551,[0.001]
アドヴァングループ,2019,Q2,22.79149291221012,[0.001]
アドヴァングループ,2019,Q3,29.228124175177324,[0.001]
アドヴァングループ,2019,Q4,28.391250943876116,[0.001]
