企業名,会計年度,四半期,y_test - y_test,y_test - y_hat_rw,y_test - y_hat_sarima_br,y_test - y_hat_sarima_f,y_test - y_hat_sarima_g,y_test - y_hat_umlp,y_test - y_hat_mlm1,y_test - y_hat_mlm2,y_test - y_hat_mlm3,y_test - y_hat_mlm4
日清オイリオグループ,2018,Q2,0.0,16.21,14.443769408045185,29.723175202249777,17.341846163187782,60.759512,29.329424381553032,15.259540830686184,-1.2880897838311256,-183.75686187534995
日清オイリオグループ,2018,Q3,0.0,16.549999999999997,-2.3202668499538817,-29.243442618726704,4.521689371062848,49.214321999999996,-14.835307297039847,-158.04870423783024,-171.31091995926565,460.9471127002529
日清オイリオグループ,2018,Q4,0.0,-67.85,-69.55152387796409,-59.6847407611885,-62.36690888291185,-59.810430000000004,-38.415595290153824,-21.697494632416813,-41.37750036573437,70.27886803319387
日清オイリオグループ,2019,Q1,0.0,44.32,37.270291185442765,24.018707449783648,25.351259719080467,41.184233000000006,-20.130434131409288,3.418564851609574,-5.8592050819409565,-84.9604000201384
日清オイリオグループ,2019,Q2,0.0,-9.630000000000003,-12.860854655349335,-22.51226455378262,-7.325721164203124,45.082899999999995,-30.680221595791075,-34.98200755380851,-34.299058017458556,-53.09579437640365
日清オイリオグループ,2019,Q3,0.0,53.440000000000005,36.306096147380444,30.65442939377037,40.41462127923904,28.114726000000005,45.75280006634665,5.479746613134296,7.2544424037998425,-182.80678981413888
日清オイリオグループ,2019,Q4,0.0,-122.45,-60.67917359748454,-46.3303754350179,-76.84454710948154,-53.325425,-49.79737498099794,-44.552421844823144,-50.49566300694732,-33.001321992467766
日清オイリオグループ,2020,Q1,0.0,107.92,46.80412799140206,47.73044806591905,45.79320933164216,73.049238,-35.40651386788065,66.86834427499565,52.04999853369057,222.48253526587155
日清オイリオグループ,2020,Q2,0.0,-35.55,-6.47828105049193,-9.39365283465952,-8.081224789945836,24.753415000000004,-35.26728711078795,-11.332627909056995,36.15127528289436,16.11160099606193
日清オイリオグループ,2020,Q3,0.0,36.709999999999994,-18.567422681989925,-14.775829207616411,-16.763576172627992,30.918003999999996,-32.65191385540092,25.488864679994947,3.2729973792234546,-104.96223664081262
日清オイリオグループ,2020,Q4,0.0,-128.51577198466634,-9.163083559315236,-13.820136546966731,-26.798895757064813,-88.21976898466636,-41.18785587743976,52.66377527895675,34.69574058636947,-71.61980082021256
日清製粉グループ本社,2018,Q1,0.0,9.54,3.642277509174626,1.9882631995598743,1.6267959150371958,2.014016999999999,2.1898934744576763,3.7149163968806427,3.2837598552348375,-7.319491259885819
日清製粉グループ本社,2018,Q2,0.0,-3.5699999999999967,1.2198364505041894,0.5632803555691801,-0.06979233823076214,3.486427000000001,-0.13717009993659346,2.069030903806876,1.7685377031267961,2.7986851628051426
日清製粉グループ本社,2018,Q3,0.0,6.669999999999998,0.22586647907244028,-1.7578312690042495,-0.42495959535029826,2.8175559999999997,-2.63291389234573,3.6505965355792362,3.128483534415267,-5.2552054874144325
日清製粉グループ本社,2018,Q4,0.0,-9.62,2.887830308577181,2.4678703163217914,1.2001945406363852,5.252644,2.4075911482678425,3.959476680959968,2.913185958130356,2.403554698993931
日清製粉グループ本社,2019,Q1,0.0,0.9399999999999995,-4.3160274826834915,-4.600392774219859,-5.705219637196233,-3.122410000000002,-6.972724447486339,-5.429611156095941,-6.418955409136256,-21.65199735072562
日清製粉グループ本社,2019,Q2,0.0,15.68,13.272978935781119,11.67375197145492,13.573756563974126,14.025085,14.090586515066033,13.05444508274715,13.796709316404954,25.297760072084056
日清製粉グループ本社,2019,Q3,0.0,-8.95,7.158713547642165,6.579889105460234,-4.201671345917482,9.035989,-0.055794871825369796,5.301113129371647,7.768632900493358,64.37438983106074
日清製粉グループ本社,2019,Q4,0.0,-13.38,-6.117855380537918,-6.591864267072511,-6.103303614648821,-2.7998220000000007,-12.533315052303399,-2.221838223051682,-1.073236052268605,-18.602599630120253
日清製粉グループ本社,2020,Q1,0.0,6.32,-3.3424106849056106,-2.8197968702406637,-3.627454593706103,10.7039069,0.07047902071987444,-3.7925643924843175,-9.37746866039525,18.351669247601492
日清製粉グループ本社,2020,Q2,0.0,1.3100000000000005,-12.066715166633397,-14.833122010617927,-9.711288257008604,9.953493000000002,-8.670399129795708,0.2542151647723614,-3.404689898241813,15.305491709172443
日清製粉グループ本社,2020,Q3,0.0,8.32,1.1497038151898629,-3.5440898466538187,0.48588058948954327,9.668234,7.436405935615845,8.95975531598028,12.000423514432464,21.261569402931933
日清製粉グループ本社,2020,Q4,0.0,-13.959336641167694,0.050627721660902125,2.8430857193697445,-2.2118331688396466,-8.727134641167693,-0.22324607229744942,7.752380016725462,8.887510886131176,41.77113648114711
日清食品ホールディングス,2018,Q1,0.0,79.10349895706925,22.90400733864839,10.116848492350101,24.551278666184622,27.50698400000001,-12.846538568800227,8.910167507182436,-3.242188425975584,261.92250112044496
日清食品ホールディングス,2018,Q2,0.0,-13.39,-2.18100896222316,-7.505198036455653,-13.73581434872159,30.154147000000002,-20.28094965445537,40.098848581979624,21.489946073647886,79.56524437425018
日清食品ホールディングス,2018,Q3,0.0,25.72999999999999,-26.674378714482117,-51.380682112689996,-28.672436174962556,-14.46671000000002,-30.312003369331137,48.724270846096275,53.91584782077463,165.90440614718455
日清食品ホールディングス,2018,Q4,0.0,-143.16,-69.55534442200997,-62.862988125084144,-74.35646062783155,-79.74677299999999,-91.96195859519031,-68.0328413959512,-72.67865070179222,-85.74769949857479
日清食品ホールディングス,2019,Q1,0.0,107.08,-17.384075122226818,-29.30375517859305,-12.24430945575061,-5.642030000000005,-45.629478039130404,-36.09840072110269,-48.41514805184572,104.95492707356374
日清食品ホールディングス,2019,Q2,0.0,17.939999999999998,4.5191244458388695,6.503041173222783,2.491522947241151,16.982999999999997,9.295942906956725,18.71153871178911,-5.5834377572938365,189.70767181601047
日清食品ホールディングス,2019,Q3,0.0,43.28,14.857835170792953,25.514093443624148,12.668105967559683,20.20376999999999,38.56431307219455,57.55589295921715,60.90341987286721,-79.24583974369747
日清食品ホールディングス,2019,Q4,0.0,-81.69,56.58320378786409,87.71137974897383,56.376293514822514,25.678294,70.18533383866665,65.75720171420923,70.9714709454322,208.97213330025963
