企業名,会計年度,四半期,y_hat_comb_all
アジアパイルホールディングス,2018,Q2,19.3617569988523
アジアパイルホールディングス,2018,Q3,20.862221696568856
アジアパイルホールディングス,2018,Q4,17.704871460215
アジアパイルホールディングス,2019,Q1,21.45983327058916
アジアパイルホールディングス,2019,Q2,21.358030178293696
アジアパイルホールディングス,2019,Q3,17.673409601877836
アジアパイルホールディングス,2019,Q4,14.24221235474336
アジアパイルホールディングス,2020,Q1,16.856722437849324
アジアパイルホールディングス,2020,Q2,20.232656486083997
アジアパイルホールディングス,2020,Q3,18.04879593641151
アジアパイルホールディングス,2020,Q4,16.41050366849018
アステラス製薬,2018,Q1,29.185127180069912
アステラス製薬,2018,Q2,20.080313005769685
アステラス製薬,2018,Q3,30.60738492771642
アステラス製薬,2018,Q4,18.809543023843894
アステラス製薬,2019,Q1,28.227295340733704
アステラス製薬,2019,Q2,26.55408685842564
アステラス製薬,2019,Q3,37.23867165154865
アステラス製薬,2019,Q4,20.052270290068847
アステラス製薬,2020,Q1,35.23153033168566
アステラス製薬,2020,Q2,30.24978601238245
アステラス製薬,2020,Q3,32.644602053415085
