企業名,会計年度,四半期,y_hat_ibes_comb_all
ディスコ,2020,Q3,226.49929137058615
ディスコ,2020,Q4,268.3106612248321
デンソー,2018,Q1,97.30930656152223
デンソー,2018,Q2,91.86766328890741
デンソー,2018,Q3,90.42901393301467
デンソー,2018,Q4,69.21599101628608
デンソー,2019,Q1,80.16217288334364
デンソー,2019,Q2,60.95949815624509
デンソー,2019,Q3,82.26547619955716
デンソー,2019,Q4,35.30879947752538
デンソー,2020,Q1,-24.395611774161438
デンソー,2020,Q2,-11.523223053417889
デンソー,2020,Q3,69.32458596645914
デンソー,2020,Q4,65.86012747952873
トヨタ自動車,2018,Q1,212.19593922490148
トヨタ自動車,2018,Q2,187.66834494502243
トヨタ自動車,2018,Q3,244.4988070649338
トヨタ自動車,2018,Q4,140.18178536345746
トヨタ自動車,2019,Q1,119.4307996626139
トヨタ自動車,2019,Q2,280.99142713498804
トヨタ自動車,2019,Q3,195.3187093278817
トヨタ自動車,2019,Q4,-43.99601719233872
トヨタ自動車,2020,Q1,18.471070024740836
トヨタ自動車,2020,Q2,95.26059076570775
トヨタ自動車,2020,Q3,158.6709583082816
トヨタ自動車,2020,Q4,126.35013685808426
ニコン,2018,Q1,26.442203290430015
ニコン,2018,Q2,20.29699391329617
ニコン,2018,Q3,14.605675134948935
ニコン,2018,Q4,37.176682696652236
ニコン,2019,Q1,38.57126060320129
ニコン,2019,Q2,23.52496488431512
ニコン,2019,Q3,32.41455625208655
ニコン,2019,Q4,22.040655570370177
ニコン,2020,Q1,-2.497714202082026
ニコン,2020,Q2,7.286944449724501
ニコン,2020,Q3,-13.000657614341257
ニコン,2020,Q4,-16.015527207880645
ニチコン,2018,Q1,-23.452175183513493
ニチコン,2018,Q2,21.581689827728418
ニチコン,2018,Q3,-25.464832393122812
ニチコン,2018,Q4,-44.1692143223557
ニチコン,2019,Q1,-4.360264690684118
ニチコン,2019,Q2,-39.77667055995846
ニチコン,2019,Q3,-3.186956342130502
ニチコン,2019,Q4,-25.672039263565747
ニチコン,2020,Q1,-4.070244228039247
ニチコン,2020,Q2,12.91444321093697
ニチコン,2020,Q3,0.7826529638130396
ニチコン,2020,Q4,-23.288803485480432
ニフコ,2018,Q1,89.78494887111037
ニフコ,2018,Q2,67.17809370893163
ニフコ,2018,Q3,67.08724341171165
ニフコ,2018,Q4,47.84065505335821
ニフコ,2019,Q1,34.75555091636121
ニフコ,2019,Q2,51.92892817653761
ニフコ,2019,Q3,45.396944932464656
ニフコ,2019,Q4,43.7832741837382
ニフコ,2020,Q1,31.964539976450173
ニフコ,2020,Q2,33.08283415159052
ニフコ,2020,Q3,20.38870792578799
ニフコ,2020,Q4,52.137913271584054
バンダイナムコホールディングス,2018,Q1,78.81730596164992
バンダイナムコホールディングス,2018,Q2,66.31267541399447
バンダイナムコホールディングス,2018,Q3,62.959734401009555
バンダイナムコホールディングス,2018,Q4,53.834103347418555
バンダイナムコホールディングス,2019,Q1,69.0028283135446
