企業名,会計年度,四半期,y_hat_ibes_comb_mml
バンダイナムコホールディングス,2019,Q2,77.52579568136247
バンダイナムコホールディングス,2019,Q3,75.15742474720874
バンダイナムコホールディングス,2019,Q4,36.77428403362396
バンダイナムコホールディングス,2020,Q1,62.408569956346916
バンダイナムコホールディングス,2020,Q2,74.99794673709023
バンダイナムコホールディングス,2020,Q3,77.97501963914316
バンダイナムコホールディングス,2020,Q4,20.25101567647
パナソニック,2018,Q1,17.947032185065364
パナソニック,2018,Q2,8.074845772288874
パナソニック,2018,Q3,31.906222844996993
パナソニック,2018,Q4,6.857226054605907
パナソニック,2019,Q1,22.088710531878217
パナソニック,2019,Q2,9.580196379242052
パナソニック,2019,Q3,2.7764032516525017
パナソニック,2019,Q4,0.6269328676677919
パナソニック,2020,Q1,8.566387074339818
パナソニック,2020,Q2,-30.193795711483187
パナソニック,2020,Q3,-23.97410723432313
パナソニック,2020,Q4,-5.124848267984391
ヒロセ電機,2018,Q1,109.42988734833365
ヒロセ電機,2018,Q2,158.09020247995807
ヒロセ電機,2018,Q3,142.084924282125
ヒロセ電機,2018,Q4,91.99357762230223
ヒロセ電機,2019,Q1,110.68803824301484
ヒロセ電機,2019,Q2,130.2922652208995
ヒロセ電機,2019,Q3,115.30671550583368
ヒロセ電機,2019,Q4,101.56556273023979
ヒロセ電機,2020,Q1,104.85160960163564
ヒロセ電機,2020,Q2,130.80327845763856
ヒロセ電機,2020,Q3,152.26109915057995
ヒロセ電機,2020,Q4,149.37796624868693
ファナック,2018,Q1,239.5983276922386
ファナック,2018,Q2,205.30129520625385
ファナック,2018,Q3,177.86020877220741
ファナック,2018,Q4,191.15066515488866
ファナック,2019,Q1,156.74962898482758
ファナック,2019,Q2,131.85907106324328
ファナック,2019,Q3,117.100501992815
ファナック,2019,Q4,96.96126406778443
ファナック,2020,Q1,70.00437028232578
ファナック,2020,Q2,91.77943283981055
ファナック,2020,Q3,117.3054407612003
ファナック,2020,Q4,175.60019399025884
ミネベアミツミ,2018,Q1,24.95836657676128
ミネベアミツミ,2018,Q2,31.433587057934393
ミネベアミツミ,2018,Q3,38.65380811346062
ミネベアミツミ,2018,Q4,18.676828098278012
ミネベアミツミ,2019,Q1,23.279565825826875
ミネベアミツミ,2019,Q2,31.10454209150174
ミネベアミツミ,2019,Q3,40.169157346546676
ミネベアミツミ,2019,Q4,35.81496745189736
ミネベアミツミ,2020,Q1,25.999186931829097
ミネベアミツミ,2020,Q2,33.1701901237543
ミネベアミツミ,2020,Q3,36.37357640900883
ミネベアミツミ,2020,Q4,34.29929585642942
リコー,2018,Q1,18.124030904000662
リコー,2018,Q2,-75.5155572873993
リコー,2018,Q3,0.34450892027413715
リコー,2018,Q4,18.778377475567233
リコー,2019,Q1,13.546354060097565
リコー,2019,Q2,17.722069863779645
リコー,2019,Q3,12.926467790625713
リコー,2019,Q4,-1.6954812729558106
リコー,2020,Q1,27.59753304878572
リコー,2020,Q2,-12.298079858890693
リコー,2020,Q3,10.232103155354745
リコー,2020,Q4,-12.416231861852404
ローム,2018,Q1,33.566750899557036
ローム,2018,Q2,91.5922070799074
ローム,2018,Q3,94.09143977055358
ローム,2018,Q4,15.81132811910806
ローム,2019,Q1,69.94257184152497
ローム,2019,Q2,56.81896869510606
ローム,2019,Q3,69.03008245658559
ローム,2019,Q4,-18.3465048202121
ローム,2020,Q1,100.8759978857595
ローム,2020,Q2,44.844457748152514
ローム,2020,Q3,85.94865669850037
ローム,2020,Q4,121.38357083154396
三井不動産,2018,Q1,38.48281567205432
三井不動産,2018,Q2,35.435470993556606
三井不動産,2018,Q3,41.452046008686075
三井不動産,2018,Q4,69.13167659742955
三井不動産,2019,Q1,39.651830563693544
三井不動産,2019,Q2,38.935746496673964
三井不動産,2019,Q3,43.62644204280317
三井不動産,2019,Q4,71.93320661679131
三井不動産,2020,Q1,28.76353713436058
三井不動産,2020,Q2,14.39005245012518
三井不動産,2020,Q3,60.76396745370275
三井不動産,2020,Q4,29.849911423922265
三菱地所,2018,Q1,13.938619496748972
三菱地所,2018,Q2,17.938396267690305
三菱地所,2018,Q3,25.712626203564884
三菱地所,2018,Q4,17.531671653873957
三菱地所,2019,Q1,18.009212720023047
三菱地所,2019,Q2,21.669590378258416
三菱地所,2019,Q3,25.379841139644032
三菱地所,2019,Q4,23.937944374129444
三菱地所,2020,Q1,20.494844848629956
三菱地所,2020,Q2,19.868038601255908
三菱地所,2020,Q3,21.717422352450868
三菱地所,2020,Q4,32.54867211427328
三菱電機,2018,Q1,24.525970648136155
三菱電機,2018,Q2,22.856931416923292
三菱電機,2018,Q3,26.87043010076891
三菱電機,2018,Q4,33.64285875105703
三菱電機,2019,Q1,23.292741163454725
三菱電機,2019,Q2,22.58097147076707
三菱電機,2019,Q3,22.78167702383932
三菱電機,2019,Q4,25.373171641400123
三菱電機,2020,Q1,13.189844345308849
三菱電機,2020,Q2,18.193716026524317
三菱電機,2020,Q3,25.62537029125262
三菱電機,2020,Q4,32.948187980454186
丸井グループ,2018,Q1,33.8926980096823
丸井グループ,2018,Q2,37.314296117428704
丸井グループ,2018,Q3,32.685726605717505
丸井グループ,2018,Q4,25.61574777312545
丸井グループ,2019,Q1,17.930839126017524
丸井グループ,2019,Q2,30.850001826897397
丸井グループ,2019,Q3,34.034582407252614
丸井グループ,2019,Q4,23.651722039933162
丸井グループ,2020,Q1,24.02234446086156
丸井グループ,2020,Q2,40.453596460495355
丸井グループ,2020,Q3,30.643324213351388
丸井グループ,2020,Q4,16.93009749041376
九電工,2018,Q1,40.92373449293342
九電工,2018,Q2,92.40554701035177
九電工,2018,Q3,58.66788012373979
九電工,2018,Q4,185.15983386606175
九電工,2019,Q1,54.30906969499023
九電工,2019,Q2,93.32966526440288
九電工,2019,Q3,57.21600893625043
九電工,2019,Q4,176.7743638407993
九電工,2020,Q1,50.42231149569138
九電工,2020,Q2,84.3006134282994
九電工,2020,Q3,73.66968763541608
九電工,2020,Q4,156.8745368275767
京セラ,2018,Q1,33.62653408329823
京セラ,2018,Q2,87.5530432998748
京セラ,2018,Q3,70.9521373792495
京セラ,2018,Q4,137.926291173438
京セラ,2019,Q1,77.50277975876607
京セラ,2019,Q2,98.53503847170565
京セラ,2019,Q3,123.7553838969287
