企業名,会計年度,四半期,y_hat_comb_uts
アステラス製薬,2019,Q2,25.112497047676676
アステラス製薬,2019,Q3,41.170386118919865
アステラス製薬,2019,Q4,18.781260734037083
アステラス製薬,2020,Q1,24.690354982419937
アステラス製薬,2020,Q2,33.03124029577665
アステラス製薬,2020,Q3,26.418248811472647
アステラス製薬,2020,Q4,8.525961112617193
アズビル,2018,Q1,40.88165512680912
アズビル,2018,Q2,52.33980708907895
アズビル,2018,Q3,59.90262585133426
アズビル,2018,Q4,97.7998655076137
アズビル,2019,Q1,11.634126378450658
アズビル,2019,Q2,44.8435520359442
アズビル,2019,Q3,32.82809513278912
アズビル,2019,Q4,58.82068121383352
アズビル,2020,Q1,16.72369216338226
アズビル,2020,Q2,33.93883391061882
アズビル,2020,Q3,33.00862228200954
アズビル,2020,Q4,61.39159305274219
アズワン,2018,Q1,62.89634387722924
アズワン,2018,Q2,57.148599361073124
アズワン,2018,Q3,62.204893857471724
アズワン,2018,Q4,83.63777320455726
アズワン,2019,Q1,70.5570335360242
アズワン,2019,Q2,63.485602317418554
アズワン,2019,Q3,76.19983709429638
アズワン,2019,Q4,80.49248407425908
アズワン,2020,Q1,77.21492028806215
アズワン,2020,Q2,76.86922022643067
アズワン,2020,Q3,71.24035608423651
アズワン,2020,Q4,89.21931261509732
アツギ,2018,Q1,-0.1444306379043773
アツギ,2018,Q2,-0.9821119946780131
アツギ,2018,Q3,13.434086129923514
アツギ,2018,Q4,0.186752044363908
アツギ,2019,Q1,-338.7660593158022
アツギ,2019,Q2,7.3993025625098365
アツギ,2019,Q3,-1.3935183779156581
アツギ,2019,Q4,-310.1090554765034
アツギ,2020,Q1,-42.46499488667028
アツギ,2020,Q2,-16.122090201279246
アツギ,2020,Q3,-179.33159285689482
アツギ,2020,Q4,-69.3601513383768
アドウェイズ,2018,Q1,-76.12336129033314
アドウェイズ,2018,Q2,194.43310711252357
アドウェイズ,2018,Q3,11.98228774375455
アドウェイズ,2018,Q4,-60.55618411682034
アドウェイズ,2019,Q1,-91.12819931291077
アドウェイズ,2019,Q2,126.42014805844676
アドウェイズ,2019,Q3,6.6835115746753235
アドウェイズ,2019,Q4,-54.72203032386168
アドウェイズ,2020,Q1,-67.37383632952546
アドウェイズ,2020,Q2,4.944557774119372
アドウェイズ,2020,Q3,-11.00251502252255
アドウェイズ,2020,Q4,3.5509081956894435
アドソル日進,2018,Q1,15.171204972354857
アドソル日進,2018,Q2,19.62381470033825
アドソル日進,2018,Q3,19.54056322212392
アドソル日進,2018,Q4,12.341373887277479
アドソル日進,2019,Q1,17.072862720953783
アドソル日進,2019,Q2,21.94361737900875
アドソル日進,2019,Q3,20.963071792256688
アドソル日進,2019,Q4,16.849732828169373
アドソル日進,2020,Q1,20.375417252760236
アドソル日進,2020,Q2,25.327935656585893
アドソル日進,2020,Q3,25.605592300877227
