,決算期,決算発表日,決算月数,売上高・営業収益,売上総利益,営業利益,経常利益／税金等調整前当期純利益,当期純利益（連結）,１株当たり利益,販売費及び一般管理費,棚卸資産,資本的支出,期末従業員数,受取手形・売掛金／売掛金及びその他の短期債権
57,2016-09-01,2016-11-08,6.0,6481420.0,1438390.0,474635.0,499478.0,410774.0,129.95999999999998,695360.0,2058076.0,1791094.0,355264.0,1805932.0
58,2016-12-01,2017-02-06,9.0,7084187.0,1447557.0,438586.0,587538.0,506825.0,161.23000000000002,677934.0,2212269.0,2610166.0,357072.0,1874846.0
59,2017-03-01,2017-05-10,12.0,7442473.0,1592906.0,438921.0,429753.0,430155.0,133.16000000000003,827534.0,2388617.0,3541437.0,364445.0,2166048.0
60,2017-06-01,2017-08-04,3.0,7047606.0,1604875.0,574294.0,679348.0,631752.0,205.05,720249.0,2456712.0,872490.0,371888.0,1959874.0
61,2017-09-01,2017-11-07,6.0,7143601.0,1596509.0,522247.0,572825.0,481217.0,154.5,758335.0,2491575.0,1803601.0,371286.0,2078991.0
62,2017-12-01,2018-02-06,9.0,7605767.0,1735776.0,673645.0,750940.0,970686.0,318.40000000000003,733972.0,2542307.0,2766355.0,368883.0,2093532.0
63,2018-03-01,2018-05-09,12.0,7582536.0,1841876.0,629676.0,617316.0,502451.0,164.04999999999995,877939.0,2539789.0,3598707.0,369124.0,2245487.0
64,2018-06-01,2018-08-03,3.0,7362733.0,1722737.0,682687.0,813864.0,684236.0,224.67,691895.0,2536944.0,1039203.0,373272.0,2106252.0
65,2018-09-01,2018-11-06,6.0,7311273.0,1660643.0,579158.0,734945.0,613569.0,202.35,736109.0,2583535.0,2253555.0,371796.0,2161538.0
66,2018-12-01,2019-02-06,9.0,7801542.0,1806183.0,676129.0,176970.0,203100.0,62.80000000000001,777252.0,2555133.0,2946779.0,371495.0,2135896.0
67,2019-03-01,2019-05-08,12.0,7750133.0,1646623.0,529571.0,559686.0,484682.0,160.72999999999996,771095.0,2656396.0,3985698.0,370870.0,2389104.0
68,2019-06-01,2020-08-06,3.0,7721273.0,1452128.0,740611.0,850985.0,631382.0,218.62,711517.0,2582064.3333333335,1031422.0,379201.0,2295692.6666666665
69,2019-09-01,2020-11-06,6.0,7637004.0,2004790.0,658607.0,770834.0,552611.0,189.27999999999997,692985.0,2507732.6666666665,1982933.0,376762.0,2202281.3333333335
70,2019-12-01,2020-02-06,9.0,7471887.0,1744927.0,659565.0,893960.0,894659.0,304.56000000000006,723729.0,2433401.0,3122687.0,372636.0,2108870.0
71,2020-03-01,2020-05-12,12.0,7099828.0,1585403.0,384086.0,38828.0,63677.0,23.149999999999977,836528.0,2434918.0,3304257.0,359542.0,2118838.0
