,,,,,,決算期,決算月数,決算種別フラグ,連結基準フラグ,実績・予想フラグ,資料公表日／決算発表日,決算期初日,決算期末日,最新予想フラグ,売上高＜累計＞,営業利益＜累計＞,経常利益＜累計＞,潜在株式調整後１株当たり利益＜累計＞,１株当たり利益＜累計＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜累計＞,当期利益＜累計＞,売上高＜３ヵ月＞,営業利益＜３ヵ月＞,経常利益＜３ヵ月＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜３ヵ月＞,１株当たり利益＜３ヵ月＞,当期利益＜３ヵ月＞
,,,,,,FINHISA'ACC,FINHISA'MACC,FINHISA'HACC,FINHISA'SECFLG,FINHISA'RPFLG,FINHISA'PUBLISHDATE,FINHISA'CE001,FINHISA'CE002,FINHISA'CE066,FINHISA'CE003,FINHISA'CE004,FINHISA'CE005,FINHISA'CE009,FINHISA'CE007,FINHISA'CE006,FINHISA'CE008,FINHISA'CE011,FINHISA'CE012,FINHISA'CE013,FINHISA'CE014,FINHISA'CE015,FINHISA'CE016
,,,,,,年月,ヶ月,2桁コード,1桁コード,1桁コード,年月日,年月日,年月日,1桁コード,百万円,百万円,百万円,円,円,百万円,百万円,百万円,百万円,百万円,百万円,円,百万円
トヨタ自動車,T7203,月次(M),2009/09,#2002,#2002,2009/09,6,22,2,2,2010/11/05,2009/04/01,2009/09/30,-,8377643,-136859,-62975,-17.85,-17.85,-55986,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/12,#2001,#2001,2009/12,9,23,2,2,2010/02/04,2009/04/01,2009/12/31,-,13670533,52250,161912,31.01,31.01,97233,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/12,#2002,#2002,2009/12,9,23,2,2,2011/02/08,2009/04/01,2009/12/31,-,13670533,52250,161912,31.01,31.01,97233,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/03,#0001,#0001,2010/03,12,10,2,0,2009/05/08,2009/04/01,2010/03/31,0,16500000,-850000,-850000,-,-175.39,-550000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/03,#0002,#0002,2010/03,12,10,2,0,2009/08/04,2009/04/01,2010/03/31,0,16800000,-750000,-700000,-,-143.5,-450000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/03,#0003,#0003,2010/03,12,10,2,0,2009/11/05,2009/04/01,2010/03/31,0,18000000,-350000,-300000,-,-63.78,-200000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/03,#0004,#0004,2010/03,12,10,2,0,2010/02/04,2009/04/01,2010/03/31,1,18500000,-20000,90000,-,25.51,80000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/03,#2001,#2001,2010/03,12,10,2,2,2010/05/11,2009/04/01,2010/03/31,-,18950973,147516,291468,66.79,66.79,209456,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/03,#2002,#2002,2010/03,12,10,2,2,2011/05/11,2009/04/01,2010/03/31,-,18950973,147516,291468,66.79,66.79,209456,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/06,#2001,#2001,2010/06,3,21,2,2,2010/08/04,2010/04/01,2010/06/30,-,4871825,211663,263004,60.74,60.74,190466,-,-,-,-,-,-,-
