企業名,日経業種コード,日経業種名（漢字）,日経業種名（英文）,日経業種大分類,日経業種中分類,日経業種小分類,東証業種コード,東証業種名（漢字）,東証業種名（英文）,日本標準産業分類（１）,日本標準産業分類（２）,日本標準産業分類（３）
三井金属鉱業,119181,大手精錬,Non-Ferrous Refining (Major),1,19,181,3500,非鉄金属,Nonferrous Metals,000002311,000002312,000002331
三井Ｅ＆Ｓホールディングス,125241,造船,Shipbuilding & Repairing,1,25,241,3600,機械,Machinery,000002621,000003131,000000611
三信電気,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
三共生興,243424,繊維商社,Wholesale - Fabrics & Apparel,2,43,424,6050,卸売業,Wholesale Trade,000005121,000005122,000005111
三和ホールディングス,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002443,000000000,000000000
三城ホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006082,000000000,000000000
三愛石油,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005331,000000000,000000000
三晃金属工業,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000761,000000000,000000000
三桜工業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
三機工業,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000832,000000833,000000000
三洋化成工業,107067,油脂・洗剤,"Oils, Fats & Soap",1,07,067,3200,化学,Chemicals,000001643,000001112,000000000
三洋工業,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002443,000002481,000000000
三浦工業,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002511,000000000,000000000
三菱ケミカルホールディングス,107061,大手化学,Chemicals (Major),1,07,061,3200,化学,Chemicals,000001631,000001632,000001652
三菱マテリアル,119181,大手精錬,Non-Ferrous Refining (Major),1,19,181,3500,非鉄金属,Nonferrous Metals,000002311,000002319,000000000
三菱ロジスネクスト,129283,その他輸送用機器,"Transportation Equipment, NEC",1,29,283,3700,輸送用機器,Transport Equipment,000003199,000003121,000000000
三菱倉庫,263621,倉庫,Warehousing,2,63,621,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004811,000004711,000004821
三菱化工機,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002652,000007499,000000000
三菱地所,253521,賃貸,Real Estate - Rental,2,53,521,8050,不動産業,Real Estate,000006911,000006912,000006812
三菱瓦斯化学,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001631,000001639,000000000
三菱自動車工業,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000003113,000000000
三菱製紙,105042,その他パルプ・紙,Other Paper,1,05,042,3150,パルプ・紙,Pulp & Paper,000001421,000001695,000000000
三菱製鋼,117163,特殊鋼,Special Steel,1,17,163,3450,鉄鋼,Iron & Steel,000002254,000002253,000000000
三菱重工業,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000003131,000003134,000000611
三菱電機,123221,総合電機,General Electric,1,23,221,3650,電気機器,Electric Appliances,000003031,000002939,000002911
三谷セキサン,115143,セメント二次,Concrete Products,1,15,143,3400,ガラス・土石製品,Glass & Ceramics Products,000002129,000000000,000000000
三谷産業,243426,化学商社,Wholesale - Chemicals,2,43,426,6050,卸売業,Wholesale Trade,000005329,000005331,000005319
三越伊勢丹ホールディングス,245441,百貨店,Department Stores,2,45,441,6100,小売業,Retail Trade,000005611,000000000,000000000
三重交通グループホールディング,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006812,000006811,000000000
上新電機,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005931,000000000,000000000
上組,263622,運輸関連,Harbor Transportation,2,63,622,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004811,000004711,000000000
不二製油グループ本社,101004,食油,Vegetable Oils,1,01,004,3050,食料品,Foods,000000982,000000000,000000000
不動テトラ,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000621,000000611,000000000
世紀東急工業,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000631,000000621,000000000
中国塗料,107069,塗料・インキ,Paint & Printing Inks,1,07,069,3200,化学,Chemicals,000001644,000000000,000000000
中外炉工業,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000891,000000000,000000000
中央倉庫,263621,倉庫,Warehousing,2,63,621,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004711,000004421,000000000
中央発条,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002492,000000000,000000000
中山福,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005591,000005519,000000000
中山製鋼所,117161,銑鋼一貫,Iron & Steel (Major),1,17,161,3450,鉄鋼,Iron & Steel,000002221,000000000,000000000
中広,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007311,000009299,000000000
中村屋,101006,製菓・パン,Bakery Products,1,01,006,3050,食料品,Foods,000000972,000000971,000000000
中越パルプ工業,105042,その他パルプ・紙,Other Paper,1,05,042,3150,パルプ・紙,Pulp & Paper,000001421,000000000,000000000
中部飼料,101001,飼料,Feeds,1,01,001,3050,食料品,Foods,000001061,000000000,000000000
中電工,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
丸一鋼管,117162,平電炉・単圧,Ordinary Steel,1,17,162,3450,鉄鋼,Iron & Steel,000002234,000000000,000000000
丸井グループ,245443,月販店,Installment Stores,2,45,443,6100,小売業,Retail Trade,000005611,000000000,000000000
丸全昭和運輸,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004811,000000000
丸大食品,101007,ハム,Meat Products,1,01,007,3050,食料品,Foods,000000912,000000000,000000000
丸文,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005492,000000000,000000000
丸紅建材リース,271704,その他サービス業,Miscellaneous Services,2,71,704,6050,卸売業,Wholesale Trade,000005314,000000000,000000000
丸運,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004821,000000000
九電工,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000812,000000811,000000000
亀田製菓,101006,製菓・パン,Bakery Products,1,01,006,3050,食料品,Foods,000000974,000000000,000000000
五洋建設,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000623,000000611,000000000
井村屋グループ,101006,製菓・パン,Bakery Products,1,01,006,3050,食料品,Foods,000000972,000000000,000000000
京セラ,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002814,000002899,000002145
京三製作所,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000003015,000003039,000000000
京成電鉄,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000004311,000006812
京浜急行電鉄,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000004311,000006812
京王電鉄,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000004311,000000000
京阪ホールディングス,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000005611,000006812
今仙電機製作所,129283,その他輸送用機器,"Transportation Equipment, NEC",1,29,283,3700,輸送用機器,Transport Equipment,000003113,000003199,000000000
任天堂,271704,その他サービス業,Miscellaneous Services,2,71,704,3800,その他製品,Other Products,000003251,000000000,000000000
伊藤忠エネクス,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005331,000000000,000000000
伊藤忠テクノソリューションズ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003921,000007499
伯東,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000002813,000000000
住友ベークライト,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001635,000000000,000000000
住友不動産,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006911,000000000
住友倉庫,263621,倉庫,Warehousing,2,63,621,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004811,000004711,000006911
住友化学,107061,大手化学,Chemicals (Major),1,07,061,3200,化学,Chemicals,000001631,000000000,000000000
住友大阪セメント,115142,セメント一次,Cement,1,15,142,3400,ガラス・土石製品,Glass & Ceramics Products,000002121,000000000,000000000
住友理工,113122,その他ゴム製品,"Rubber Products, NEC",1,13,122,3350,ゴム製品,Rubber Products,000001933,000000000,000000000
住友精化,107062,肥料,Chemical Fertilizers,1,07,062,3200,化学,Chemicals,000001639,000001623,000000000
住友重機械工業,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002531,000000000,000000000
住友金属鉱山,119181,大手精錬,Non-Ferrous Refining (Major),1,19,181,3500,非鉄金属,Nonferrous Metals,000002311,000002319,000000000
住友電気工業,119184,電線・ケーブル,Wire & Cable,1,19,184,3500,非鉄金属,Nonferrous Metals,000002341,000002355,000000000
住友電設,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000812,000000811,000000000
佐田建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000621,000000611,000000000
保土谷化学工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001634,000001621,000001692
信越ポリマー,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001897,000001999,000001822
信越化学工業,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001635,000000000,000000000
元気寿司,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007641,000000000,000000000
光村印刷,133321,印刷,Printing,1,33,321,3800,その他製品,Other Products,000001511,000001521,000000000
光通信,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003731,000000000,000000000
八洲電機,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005419,000005432,000000000
共同印刷,133321,印刷,Printing,1,33,321,3800,その他製品,Other Products,000001511,000001521,000000000
共和レザー,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3200,化学,Chemicals,000001824,000000000,000000000
共栄タンカー,259583,外航・その他,"Shipping - Foreign, NEC",2,59,583,5100,海運業,Marine Transportation,000004541,000004512,000000000
共立メンテナンス,271703,ホテル,Hotels,2,71,703,9050,サービス業,Services,000007531,000000000,000000000
共立印刷,133321,印刷,Printing,1,33,321,3800,その他製品,Other Products,000001511,000000000,000000000
共英製鋼,117162,平電炉・単圧,Ordinary Steel,1,17,162,3450,鉄鋼,Iron & Steel,000002221,000000000,000000000
兼松エレクトロニクス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000005432
兼松サステック,133323,建材,Lumber & Wood Products,1,33,323,3800,その他製品,Other Products,000001222,000005431,000005511
凸版印刷,133321,印刷,Printing,1,33,321,3800,その他製品,Other Products,000001511,000001521,000000000
出光興産,111101,石油精製及び販売,Oil Refining & Sales,1,11,101,3300,石油・石炭製品,Oil & Coal Products,000001711,000000000,000000000
前沢化成工業,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001812,000001813,000003299
前沢給装工業,119186,その他金属製品,"Metal Products, NEC",1,19,186,3600,機械,Machinery,000002431,000002592,000009999
加藤製作所,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002533,000002621,000003159
加賀電子,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
北川鉄工所,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002251,000002621,000002661
北沢産業,245444,その他小売業,"Retail Stores, NEC",2,45,444,6050,卸売業,Wholesale Trade,000005419,000000000,000000000
北海道ガス,269681,ガス,Utilities - Gas,2,69,681,4050,電気・ガス業,Electric Power & Gas,000003400,000000000,000000000
北越コーポレーション,105042,その他パルプ・紙,Other Paper,1,05,042,3150,パルプ・紙,Pulp & Paper,000001421,000000000,000000000
北越工業,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002522,000002911,000000000
北野建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000000,000000000
北陸電気工事,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000831,000000000
北陸電気工業,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002859,000002814,000000000
南海電気鉄道,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000004311,000006812
南陽,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005419,000000000,000000000
博報堂ＤＹホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007311,000000000,000000000
原田工業,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002899,000000000,000000000
参天製薬,109083,大衆向医薬品,Proprietary Drugs,1,09,083,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
双信電機,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002814,000002899,000000000
双葉電子工業,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000000000,000000000
古河機械金属,119181,大手精錬,Non-Ferrous Refining (Major),1,19,181,3500,非鉄金属,Nonferrous Metals,000002621,000002311,000000000
古河電気工業,119184,電線・ケーブル,Wire & Cable,1,19,184,3500,非鉄金属,Nonferrous Metals,000002341,000002331,000000000
古河電池,123227,電池,Battery,1,23,227,3650,電気機器,Electric Appliances,000002951,000002899,000000000
合同製鉄,117161,銑鋼一貫,Iron & Steel (Major),1,17,161,3450,鉄鋼,Iron & Steel,000002221,000000000,000000000
名古屋鉄道,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000004311,000006812
名村造船所,125241,造船,Shipbuilding & Repairing,1,25,241,3700,輸送用機器,Transport Equipment,000003131,000000000,000000000
名糖産業,101006,製菓・パン,Bakery Products,1,01,006,3050,食料品,Foods,000000979,000000000,000000000
味の素,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000949,000000995,000000000
品川リフラクトリーズ,115145,耐火煉瓦,Bricks,1,15,145,3400,ガラス・土石製品,Glass & Ceramics Products,000002151,000002132,000000000
商船三井,259581,大手海運,Shipping - Nucleus,2,59,581,5100,海運業,Marine Transportation,000004512,000000000,000000000
四国化成工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001629,000001639,000002445
四電工,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
因幡電機産業,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
図研,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002969,000000000,000000000
堺化学工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001622,000000000,000000000
塩水港精糖,101002,砂糖,Sugar Refining,1,01,002,3050,食料品,Foods,000000952,000000000,000000000
塩野義製薬,109081,大手医薬品,Drugs (Major),1,09,081,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
大同メタル工業,127263,車体・その他,"Auto Body, NEC",1,27,263,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
大同工業,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002531,000003113,000002533
大同特殊鋼,117163,特殊鋼,Special Steel,1,17,163,3450,鉄鋼,Iron & Steel,000002254,000002253,000000000
大和ハウス工業,241405,住宅,Home & Pre-Fabs,2,41,405,2050,建設業,Construction,000000641,000000000,000000000
大和工業,117162,平電炉・単圧,Ordinary Steel,1,17,162,3450,鉄鋼,Iron & Steel,000002212,000000000,000000000
大崎電気工業,123222,重電,Heavy Electric,1,23,222,3650,電気機器,Electric Appliances,000002971,000002912,000002914
大平洋金属,117164,合金鉄,Alloy Steel,1,17,164,3450,鉄鋼,Iron & Steel,000002319,000002255,000002253
大建工業,133323,建材,Lumber & Wood Products,1,33,323,3800,その他製品,Other Products,000001222,000000000,000000000
大成ラミック,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001821,000002645,000000000
大成建設,241401,大手建設,General Construction (Major),2,41,401,2050,建設業,Construction,000000611,000000000,000000000
大日本住友製薬,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
大日本印刷,133321,印刷,Printing,1,33,321,3800,その他製品,Other Products,000001511,000001521,000000000
大日本塗料,107069,塗料・インキ,Paint & Printing Inks,1,07,069,3200,化学,Chemicals,000001644,000000000,000000000
大日精化工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001634,000000000,000000000
大末建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000611,000000000
大東建託,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000000,000000000
大林組,241401,大手建設,General Construction (Major),2,41,401,2050,建設業,Construction,000000611,000000000,000000000
大気社,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000832,000000771,000000000
大王製紙,105042,その他パルプ・紙,Other Paper,1,05,042,3150,パルプ・紙,Pulp & Paper,000001421,000000000,000000000
大真空,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000003231,000000000
大紀アルミニウム工業所,119183,アルミ（含ダイカスト）,Aluminum,1,19,183,3500,非鉄金属,Nonferrous Metals,000002319,000002332,000000000
大豊工業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3600,機械,Machinery,000003113,000000000,000000000
大阪ガス,269681,ガス,Utilities - Gas,2,69,681,4050,電気・ガス業,Electric Power & Gas,000003400,000000000,000000000
大阪ソーダ,107063,塩素・ソーダ,Alkali & Chlorine,1,07,063,3200,化学,Chemicals,000001621,000001635,000000000
大阪製鉄,117162,平電炉・単圧,Ordinary Steel,1,17,162,3450,鉄鋼,Iron & Steel,000002221,000000000,000000000
天馬,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001831,000000000,000000000
太平洋セメント,115142,セメント一次,Cement,1,15,142,3400,ガラス・土石製品,Glass & Ceramics Products,000002121,000000000,000000000
太平洋工業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000002452,000002592,000000000
太平洋興発,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000000521,000006811,000000000
太平電業,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
太陽ホールディングス,107069,塗料・インキ,Paint & Printing Inks,1,07,069,3200,化学,Chemicals,000001645,000000000,000000000
太陽誘電,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000002814,000000000
奥村組,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000621,000000611,000000000
宇徳,263622,運輸関連,Harbor Transportation,2,63,622,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004811,000004899,000000000
宇部興産,107061,大手化学,Chemicals (Major),1,07,061,3200,化学,Chemicals,000002121,000001635,000002596
安永,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000002663,000002661,000003113
宝ホールディングス,101005,酒類,Breweries & Distilleries,1,01,005,3050,食料品,Foods,000001023,000001024,000000000
宮地エンジニアリンググループ,119185,鉄骨・鉄塔・橋梁,Fabricated Metal Products,1,19,185,3550,金属製品,Metal Products,000002441,000000731,000000000
富士フイルムホールディングス,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001695,000002752,000000000
富士急行,255542,中小私鉄,Railroad (Minor),2,55,542,5050,陸運業,Land Transportation,000004311,000004331,000008053
富士石油,111101,石油精製及び販売,Oil Refining & Sales,1,11,101,3300,石油・石炭製品,Oil & Coal Products,000001711,000000531,000000000
富士紡ホールディングス,103022,綿紡績,Cotton Spinning & Weaving,1,03,022,3100,繊維製品,Textile & Apparels,000001114,000001115,000000000
富士興産,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005331,000000000,000000000
富士通,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003031,000002899,000003011
富士通ゼネラル,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000002932,000003014,000003013
富士電機,123221,総合電機,General Electric,1,23,221,3650,電気機器,Electric Appliances,000002911,000002939,000002729
寿スピリッツ,101006,製菓・パン,Bakery Products,1,01,006,3050,食料品,Foods,000000973,000000994,000000979
小松ウオール工業,119186,その他金属製品,"Metal Products, NEC",1,19,186,3800,その他製品,Other Products,000002445,000000000,000000000
小松マテーレ,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3100,繊維製品,Textile & Apparels,000001141,000000000,000000000
小森コーポレーション,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002644,000000000,000000000
小田急電鉄,255541,大手私鉄,Railroad (Major),2,55,541,5050,陸運業,Land Transportation,000004211,000006812,000004214
小糸製作所,127262,自動車部品,Auto Parts & Accessories,1,27,262,3650,電気機器,Electric Appliances,000003039,000003113,000003149
小野建,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005342,000005319,000000000
小野薬品工業,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
尾家産業,243423,食品商社,Wholesale - Foods,2,43,423,6050,卸売業,Wholesale Trade,000005229,000000000,000000000
山一電機,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002823,000002915,000000000
山九,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004811,000004821,000000000
山善,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005413,000005319,000005432
山洋電気,123222,重電,Heavy Electric,1,23,222,3650,電気機器,Electric Appliances,000002914,000002899,000000000
山田コンサルティンググループ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007299,000000000,000000000
山陽特殊製鋼,117163,特殊鋼,Special Steel,1,17,163,3450,鉄鋼,Iron & Steel,000002254,000002253,000000000
山陽電気鉄道,255542,中小私鉄,Railroad (Minor),2,55,542,5050,陸運業,Land Transportation,000004211,000004311,000000000
岡谷電機産業,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002815,000002811,000002812
岩崎通信機,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003011,000002971,000000000
岩崎電気,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002941,000002942,000000000
岩谷産業,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005011,000000000,000000000
島津製作所,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002741,000003149,000000000
島精機製作所,121203,繊維機械,Textile Machines,1,21,203,3600,機械,Machinery,000002632,000000000,000000000
川崎汽船,259581,大手海運,Shipping - Nucleus,2,59,581,5100,海運業,Marine Transportation,000004512,000000000,000000000
川崎重工業,125241,造船,Shipbuilding & Repairing,1,25,241,3700,輸送用機器,Transport Equipment,000003131,000000611,000003141
巴コーポレーション,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000000,000000000
巴川製紙所,105042,その他パルプ・紙,Other Paper,1,05,042,3150,パルプ・紙,Pulp & Paper,000001421,000000000,000000000
帝人,103021,化合繊,Chemistry & Synthetic Fibers,1,03,021,3100,繊維製品,Textile & Apparels,000001115,000000000,000000000
帝国通信工業,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002914,000002929,000000000
帝国電機製作所,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3600,機械,Machinery,000002911,000002521,000000000
常磐興産,271702,娯楽施設,Amusement Services,2,71,702,9050,サービス業,Services,000007511,000008099,000005332
平和,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002729,000000000,000000000
平和不動産,253521,賃貸,Real Estate - Rental,2,53,521,8050,不動産業,Real Estate,000006812,000006911,000000000
平河ヒューテック,119184,電線・ケーブル,Wire & Cable,1,19,184,3500,非鉄金属,Nonferrous Metals,000002341,000000000,000000000
平田機工,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002596,000000000,000000000
幸楽苑ホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007624,000000000,000000000
愛三工業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
愛眼,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006082,000000000,000000000
愛知時計電機,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002733,000000000,000000000
愛知製鋼,117163,特殊鋼,Special Steel,1,17,163,3450,鉄鋼,Iron & Steel,000002231,000002232,000002254
戸田工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001639,000000000,000000000
戸田建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000611,000000000
扶桑化学工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001633,000001699,000000000
扶桑薬品工業,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001653,000001651,000000000
持田製薬,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
文化シヤッター,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002442,000002443,000000000
新京成電鉄,255542,中小私鉄,Railroad (Minor),2,55,542,5050,陸運業,Land Transportation,000004211,000004311,000000000
新光商事,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
新光電気工業,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000000000,000000000
新家工業,117165,鋳鍛鋼,Iron & Steel Foundries,1,17,165,3450,鉄鋼,Iron & Steel,000003191,000000000,000000000
新日本建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000611,000000641,000006811
新日本科学,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007114,000000000,000000000
新日本空調,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000831,000000000,000000000
新晃工業,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002433,000002535,000000000
新東工業,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002651,000000000,000000000
新電元工業,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002813,000002899,000000000
日亜鋼業,117165,鋳鍛鋼,Iron & Steel Foundries,1,17,165,3450,鉄鋼,Iron & Steel,000002238,000002241,000000000
